Won,HomeCourt,HomePointDiff,HomeFT,Home2pt,Home3pt,Def2pt,Def3pt,AwayPointDiff,AwayFT,Away2pt,Away3pt,OppDef2pt,OppDef3pt
0,1,-3,20,58,33,569,330,-2,21,65,30,554,345
0,1,4,18,63,35,513,355,2,17,62,35,539,351
0,1,2,20,58,40,547,367,2,17,64,35,568,362
1,1,-1,18,62,35,529,365,-9,15,62,34,572,384
1,1,-2,17,61,33,515,372,4,20,54,38,550,328
1,1,2,19,48,45,553,358,2,20,60,35,536,340
1,1,6,19,52,48,534,352,-5,20,56,34,561,369
1,1,-2,18,63,32,556,379,3,18,56,39,515,349
1,1,-1,16,53,48,547,358,1,17,55,44,554,344
1,1,-1,18,53,37,562,361,-2,20,65,31,554,346
1,1,5,20,64,34,559,332,-1,18,63,34,530,368
1,1,-2,17,61,33,518,367,2,17,62,36,538,350
1,1,2,20,58,40,548,367,2,17,64,35,570,360
0,1,1,17,62,36,540,349,3,17,61,37,509,368
1,1,-8,21,56,34,572,355,-3,20,58,33,572,332
1,1,7,19,52,48,532,351,1,18,54,38,527,338
0,1,0,20,60,31,584,359,4,18,62,35,512,361
1,1,-1,18,52,44,530,363,6,19,58,35,523,359
1,1,-7,17,62,32,561,358,-1,18,62,35,529,365
1,1,-9,15,62,34,571,388,2,20,60,35,541,338
1,1,2,19,48,45,553,357,-6,20,56,35,564,369
0,1,1,17,62,35,540,350,-2,20,64,31,555,345
1,1,2,18,56,39,514,350,-1,18,63,34,529,371
1,1,-0,20,60,31,583,361,1,17,62,35,542,349
1,1,-1,16,53,48,545,357,0,19,55,39,546,360
1,1,2,17,64,35,570,363,-1,18,53,37,563,361
1,1,2,20,58,40,551,369,1,17,55,44,553,344
1,1,5,20,64,34,560,332,4,20,54,38,549,328
0,1,-4,20,58,32,569,335,-2,18,62,33,516,369
1,1,-1,18,63,32,554,374,-7,21,55,35,569,352
0,1,-1,18,63,33,529,370,-7,21,55,35,571,354
0,1,-1,18,62,35,534,363,3,20,54,38,550,333
0,1,-9,15,62,34,568,388,2,19,48,45,551,357
0,1,-1,18,64,32,553,376,5,19,58,35,523,366
0,1,-6,20,56,35,566,370,2,20,60,35,541,340
1,1,-0,18,53,44,531,365,0,17,54,38,530,337
1,1,4,18,63,35,509,361,5,20,63,34,564,334
0,1,1,18,56,44,555,346,-1,18,53,37,564,368
0,1,-6,17,62,32,560,356,3,17,61,36,508,368
0,1,2,18,56,39,514,348,-1,18,61,33,516,364
1,1,2,17,64,35,567,364,7,19,53,48,533,352
1,1,4,18,63,34,506,358,2,20,59,40,556,366
1,1,-0,18,53,44,533,368,0,20,60,31,581,364
1,1,3,17,61,36,507,365,-9,15,63,34,572,388
1,1,-0,16,53,48,546,356,1,17,62,35,543,349
1,1,5,18,58,35,524,365,-1,18,64,32,553,375
1,1,2,20,59,36,540,339,1,17,62,35,543,349
1,1,-1,19,63,33,529,370,2,17,64,36,567,361
0,1,0,18,54,38,533,338,-1,18,54,37,560,369
1,1,4,19,55,38,546,333,5,21,63,34,567,330
0,1,-7,17,62,32,565,357,-2,20,65,31,556,343
0,1,-6,20,55,35,564,368,2,19,49,45,552,359
1,1,0,19,55,38,545,361,-7,21,55,35,570,353
