Home,Away,Date,Won, ,PointDiff,FTDiff,Home2pt,Away2pt,Home3pt,Away3pt,Def2pt,OppDef2pt,Def3pt,OppDef3pt
9,0,2023-10-24,0, ,-4,9,52,62,30,33,500,448,333,233
7,13,2023-10-24,1, ,12,-6,68,62,42,30,508,596,345,412
4,20,2023-10-25,0, ,-20,-1,54,52,36,57,605,519,487,286
27,17,2023-10-25,1, ,3,-7,44,52,42,24,377,400,258,400
21,10,2023-10-25,1, ,30,13,66,40,27,36,444,623,353,265
3,0,2023-10-25,1, ,6,-8,64,68,33,15,531,653,172,297
12,24,2023-10-25,1, ,12,0,62,68,48,30,557,554,313,471
11,29,2023-10-25,1, ,23,-12,72,70,60,27,486,563,375,465
28,25,2023-10-25,0, ,-16,6,64,56,27,57,549,508,373,321
19,1,2023-10-25,0, ,-4,-8,36,50,54,36,658,321,308,439
26,6,2023-10-25,0, ,-7,-1,70,64,33,45,615,648,319,314
14,18,2023-10-25,0, ,-7,-1,52,52,36,42,491,542,438,279
15,8,2023-10-25,1, ,1,12,58,60,24,33,500,414,344,364
2,5,2023-10-25,0, ,-1,11,66,54,27,51,529,579,395,333
13,0,2023-10-26,1, ,5,5,62,50,15,27,500,564,290,172
16,22,2023-10-26,1, ,1,6,60,50,33,48,556,588,457,367
26,10,2023-10-27,1, ,4,11,66,88,39,24,647,635,250,310
0,19,2023-10-27,0, ,-6,4,60,46,36,60,500,545,455,375
14,7,2023-10-27,0, ,-4,8,54,54,30,42,529,519,378,303
4,27,2023-10-27,1, ,1,6,58,60,24,27,625,483,250,205
25,9,2023-10-27,0, ,-8,8,58,68,36,42,618,537,438,300
6,2,2023-10-27,1, ,5,13,58,48,45,63,490,527,488,417
5,20,2023-10-27,0, ,-3,2,52,54,36,39,443,553,500,267
28,12,2023-10-27,1, ,2,-2,52,54,48,42,643,473,400,390
1,15,2023-10-27,1, ,8,-6,58,44,48,48,393,518,485,410
3,8,2023-10-27,0, ,-12,5,52,60,21,30,517,433,333,250
24,21,2023-10-27,0, ,-5,-3,52,54,27,27,529,464,321,281
29,14,2023-10-28,1, ,7,8,48,40,48,57,455,511,404,348
17,15,2023-10-28,1, ,16,-2,64,46,36,36,469,615,316,353
5,11,2023-10-28,0, ,-12,1,62,66,36,45,550,456,395,387
18,19,2023-10-28,1, ,9,-7,62,52,27,21,491,574,189,273
27,22,2023-10-28,0, ,-7,-4,42,66,51,30,569,382,357,531
8,4,2023-10-28,1, ,16,3,66,56,36,33,431,569,393,429
0,28,2023-10-28,1, ,22,14,70,56,30,36,519,729,324,270
22,24,2023-10-29,1, ,28,16,58,58,33,21,460,537,226,393
25,13,2023-10-29,1, ,5,-9,64,56,51,45,528,571,333,354
