Rk,Player,MP,Season,Lg,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Player-additional
1,Danuel House Jr.,1,2016-17,NBA,WAS,1,0,1,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,0,0,0,0.3,0.9,0,houseda01
2,Jarnell Stokes,7,2016-17,NBA,DEN,2,0,7,1,1,1.000,1,1,1.000,0,0,,1,2,.500,.798,1,1,2,2,1,0,0,3,3,2.3,16.8,0,stokeja01
3,Ben Bentil,10,2016-17,NBA,DAL,3,0,10,0,3,.000,0,2,.000,0,1,.000,0,0,,.000,0,2,2,0,0,0,1,1,0,-1.0,-25.9,-12,bentibe01
4,R.J. Hunter,10,2016-17,NBA,CHI,3,0,10,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,1,1,0,0,0,0,0,0,-0.1,-9.0,-10,hunterj01
5,Brice Johnson,10,2016-17,NBA,LAC,3,0,10,2,7,.286,2,7,.286,0,0,,0,0,,.286,1,2,3,1,2,1,1,0,4,1.2,-2.0,7,johnsbr02
6,John Lucas III,10,2016-17,NBA,MIN,5,0,10,1,4,.250,1,3,.333,0,1,.000,0,0,,.250,0,0,0,1,2,0,0,0,2,0.5,3.1,12,lucasjo02
7,Dahntay Jones,12,2016-17,NBA,CLE,1,0,12,3,8,.375,3,6,.500,0,2,.000,3,4,.750,.461,1,1,2,1,0,0,1,1,9,4.5,-4.8,2,jonesda02
8,Larry Sanders,12,2016-17,NBA,CLE,5,0,12,1,4,.250,1,4,.250,0,0,,2,2,1.000,.410,3,1,4,0,1,1,2,5,4,0.3,-15.0,-1,sandela01
9,John Jenkins,13,2016-17,NBA,PHO,4,0,13,2,5,.400,1,3,.333,1,2,.500,2,2,1.000,.595,0,1,1,1,0,0,0,0,7,1.3,2.2,9,jenkijo01
10,Aaron Harrison,16,2016-17,NBA,CHO,5,0,16,0,4,.000,0,2,.000,0,2,.000,1,2,.500,.102,0,3,3,3,0,0,0,2,1,0.0,-11.8,-5,harriaa01
11,Demetrius Jackson,17,2016-17,NBA,BOS,5,0,17,3,4,.750,2,3,.667,1,1,1.000,3,6,.500,.753,2,2,4,3,0,0,0,0,10,2.3,9.8,1,jacksde01
12,Gary Neal,19,2016-17,NBA,ATL,2,0,19,0,7,.000,0,5,.000,0,2,.000,4,4,1.000,.228,0,1,1,1,0,0,0,1,4,-0.2,-15.9,-5,nealga01
13,Elijah Millsap,23,2016-17,NBA,PHO,2,0,23,1,7,.143,1,5,.200,0,2,.000,1,2,.500,.190,3,3,6,1,0,0,2,2,3,-0.5,-19.0,-6,millsel01
14,Steve Novak,24,2016-17,NBA,MIL,8,0,24,2,7,.286,1,1,1.000,1,6,.167,0,0,,.357,0,3,3,0,0,0,0,1,5,0.2,-11.2,0,novakst01
15,Manny Harris,25,2016-17,NBA,DAL,4,0,25,3,15,.200,3,13,.231,0,2,.000,2,4,.500,.239,3,6,9,2,0,0,2,1,8,0.2,-14.8,-21,harrima01
16,Diamond Stone,25,2016-17,NBA,LAC,7,0,25,3,13,.231,3,13,.231,0,0,,4,4,1.000,.339,1,5,6,0,0,1,2,5,10,0.1,-20.8,-27,stonedi01
17,Mike Tobey,25,2016-17,NBA,CHO,2,0,25,1,4,.250,1,4,.250,0,0,,0,0,,.250,2,1,3,1,0,0,1,2,2,0.1,-9.5,-17,tobeymi01
18,Edy Tavares,28,2016-17,NBA,ATLCLE,2,0,28,4,5,.800,4,5,.800,0,0,,0,3,.000,.633,4,7,11,1,0,6,2,3,8,5.8,3.4,10,tavarwa01
19,Arinze Onuaku,29,2016-17,NBA,ORL,8,0,29,2,4,.500,2,4,.500,0,0,,0,0,,.500,2,4,6,2,0,1,2,3,4,0.4,-6.4,-15,onuakar01
20,Michael Gbinije,31,2016-17,NBA,DET,9,0,31,1,10,.100,1,6,.167,0,4,.000,2,2,1.000,.184,2,1,3,2,0,0,0,2,4,0.0,-12.1,-3,gbinimi01
21,Josh Huestis,31,2016-17,NBA,OKC,2,0,31,6,11,.545,4,7,.571,2,4,.500,0,1,.000,.612,4,5,9,3,0,3,0,0,14,8.4,8.8,3,huestjo01
22,Justin Harper,32,2016-17,NBA,PHI,3,0,32,5,12,.417,3,5,.600,2,7,.286,0,0,,.500,2,3,5,2,0,0,4,2,12,1.5,-10.3,-11,harpeju01
23,Jarrett Jack,33,2016-17,NBA,NOP,2,0,33,2,3,.667,2,2,1.000,0,1,.000,2,2,1.000,.773,0,0,0,5,2,0,3,4,6,2.8,-1.4,-6,jackja01
24,Jordan Farmar,36,2016-17,NBA,SAC,2,0,36,4,12,.333,0,3,.000,4,9,.444,0,0,,.500,1,2,3,9,2,0,3,1,12,5.7,2.1,-1,farmajo01
25,Greivis Vásquez,39,2016-17,NBA,BRK,3,0,39,2,8,.250,1,5,.200,1,3,.333,2,3,.667,.376,0,2,2,5,1,1,1,6,7,1.4,-5.5,-13,vasqugr01
26,Bruno Caboclo,40,2016-17,NBA,TOR,9,0,40,6,16,.375,4,10,.400,2,6,.333,0,0,,.438,5,5,10,4,2,1,2,4,14,1.3,1.0,1,cabocbr01
27,Lamar Patterson,41,2016-17,NBA,ATL,5,0,41,3,15,.200,2,9,.222,1,6,.167,2,3,.667,.276,1,6,7,6,1,0,4,6,9,0.1,-11.4,13,pattela01
28,Patricio Garino,43,2016-17,NBA,ORL,5,0,43,0,7,.000,0,2,.000,0,5,.000,0,0,,.000,1,6,7,0,0,0,3,4,0,-1.4,-17.9,-14,garinpa01
29,Kyle Wiltjer,45,2016-17,NBA,HOU,14,0,45,4,14,.286,0,1,.000,4,13,.308,1,2,.500,.437,4,6,10,2,3,1,5,4,13,0.5,-5.4,-38,wiltjky01
30,Marcus Georges-Hunt,47,2016-17,NBA,ORL,5,0,47,2,7,.286,1,5,.200,1,2,.500,9,10,.900,.614,1,8,9,3,1,0,2,5,14,2.3,-4.5,-27,georgma01
31,Jordan Hill,48,2016-17,NBA,MIN,7,0,48,5,13,.385,5,13,.385,0,0,,2,2,1.000,.432,8,6,14,0,1,0,4,9,12,0.8,-12.3,12,hilljo01
32,Axel Toupane,49,2016-17,NBA,MILNOP,4,0,49,5,9,.556,4,5,.800,1,4,.250,0,0,,.611,0,1,1,0,1,1,0,6,11,1.6,-6.2,-11,toupaax01
33,Chinanu Onuaku,50,2016-17,NBA,HOU,5,1,50,5,7,.714,5,7,.714,0,0,,4,4,1.000,.799,2,8,10,3,3,1,4,6,14,2.9,-1.5,-45,onuakch01
34,Isaiah Taylor,52,2016-17,NBA,HOU,4,0,52,1,7,.143,1,5,.200,0,2,.000,1,2,.500,.190,1,2,3,3,1,1,0,6,3,0.2,-7.8,-19,taylois01
35,Joel Bolomboy,54,2016-17,NBA,UTA,12,0,54,9,16,.563,8,12,.667,1,4,.250,3,6,.500,.590,4,13,17,2,1,2,2,1,22,1.8,3.4,14,bolomjo01
36,Jarell Eddie,62,2016-17,NBA,PHO,5,0,62,6,19,.316,2,3,.667,4,16,.250,8,9,.889,.523,1,6,7,0,1,0,1,1,24,3.0,-2.4,-5,eddieja01
37,Jerryd Bayless,71,2016-17,NBA,PHI,3,1,71,11,32,.344,9,27,.333,2,5,.400,9,10,.900,.453,3,9,12,13,0,0,9,4,33,6.0,-4.4,-21,bayleje01
38,Daniel Ochefu,76,2016-17,NBA,WAS,19,0,76,12,27,.444,12,27,.444,0,0,,0,2,.000,.430,5,17,22,3,2,0,3,17,24,0.6,-8.4,-28,ochefda01
39,Tiago Splitter,77,2016-17,NBA,PHI,8,0,77,14,31,.452,12,25,.480,2,6,.333,9,11,.818,.544,8,14,22,4,1,1,6,8,39,3.4,-4.3,-4,splitti01
40,Tim Quarterman,79,2016-17,NBA,POR,16,0,79,13,29,.448,8,16,.500,5,13,.385,0,3,.000,.511,4,10,14,11,2,3,11,6,31,1.2,-2.8,1,quartti01
41,Reggie Williams,79,2016-17,NBA,NOP,6,0,79,8,23,.348,3,12,.250,5,11,.455,6,7,.857,.518,2,4,6,4,3,0,0,2,27,3.6,-0.8,-24,willire02
42,Johnny O'Bryant,81,2016-17,NBA,CHODEN,11,0,81,15,30,.500,12,24,.500,3,6,.500,5,6,.833,.582,9,10,19,6,0,1,6,10,38,2.4,-2.4,-26,obryajo01
43,Chris McCullough,82,2016-17,NBA,BRKWAS,16,0,82,16,32,.500,15,25,.600,1,7,.143,3,5,.600,.526,9,10,19,2,2,2,3,7,36,1.7,-3.6,52,mcculch01
44,Pierre Jackson,84,2016-17,NBA,DAL,8,1,84,13,39,.333,10,28,.357,3,11,.273,6,7,.857,.416,1,8,9,19,2,0,3,5,35,3.2,-4.4,55,jackspi01
45,Damian Jones,86,2016-17,NBA,GSW,10,0,86,8,16,.500,8,16,.500,0,0,,3,10,.300,.466,9,14,23,0,1,4,6,15,19,1.1,-9.7,-28,jonesda03
46,Alonzo Gee,87,2016-17,NBA,DEN,13,0,87,3,14,.214,3,11,.273,0,3,.000,5,9,.556,.306,4,11,15,6,5,1,4,14,11,0.6,-6.7,-16,geeal01
47,Anderson Varejão,91,2016-17,NBA,GSW,14,1,91,5,14,.357,5,14,.357,0,0,,8,11,.727,.478,12,15,27,10,3,3,8,16,18,1.4,-4.2,-30,varejan01
48,Georges Niang,94,2016-17,NBA,IND,23,0,94,9,36,.250,8,24,.333,1,12,.083,2,2,1.000,.285,2,15,17,5,3,0,5,6,21,0.2,-11.7,4,niangge01
49,Gary Payton II,100,2016-17,NBA,MIL,6,0,100,8,22,.364,7,13,.538,1,9,.111,3,5,.600,.413,0,12,12,13,3,4,10,9,20,2.0,-6.5,-58,paytoga02
50,Christian Wood,106,2016-17,NBA,CHO,13,0,106,12,23,.522,12,18,.667,0,5,.000,11,15,.733,.591,14,15,29,2,3,6,7,11,35,2.6,-2.6,19,woodch01
51,Stephen Zimmerman,110,2016-17,NBA,ORL,19,0,110,10,31,.323,10,31,.323,0,0,,3,5,.600,.346,11,24,35,4,2,5,3,17,23,0.9,-8.3,-40,zimmest01
52,Ryan Kelly,111,2016-17,NBA,ATL,16,0,111,8,28,.286,4,18,.222,4,10,.400,5,6,.833,.408,1,17,18,8,4,5,4,5,25,1.3,-3.1,4,kellyry01
53,C.J. Wilcox,111,2016-17,NBA,ORL,22,0,111,8,31,.258,5,16,.313,3,15,.200,2,2,1.000,.329,4,8,12,12,2,1,6,8,21,0.4,-8.1,-17,wilcocj01
54,Chris Andersen,115,2016-17,NBA,CLE,12,0,115,9,22,.409,9,19,.474,0,3,.000,10,14,.714,.497,9,22,31,5,5,7,5,20,28,2.3,-2.5,8,anderch01
55,Jarrod Uthoff,116,2016-17,NBA,DAL,9,0,116,16,38,.421,13,29,.448,3,9,.333,5,7,.714,.487,8,14,22,9,2,4,3,8,40,3.7,-2.2,-62,uthofja01
56,Jared Sullinger,119,2016-17,NBA,TOR,11,1,119,15,47,.319,12,29,.414,3,18,.167,4,8,.500,.366,10,17,27,3,4,1,4,17,37,1.5,-7.2,-29,sullija01
57,Joel Anthony,123,2016-17,NBA,SAS,19,0,123,10,16,.625,10,16,.625,0,0,,5,8,.625,.640,8,23,31,3,2,6,4,11,25,1.5,-2.1,-13,anthojo01
58,Bobby Brown,124,2016-17,NBA,HOU,25,0,124,23,60,.383,9,25,.360,14,35,.400,2,2,1.000,.509,0,6,6,14,1,0,5,5,62,1.4,-3.6,-34,brownbo02
59,Norris Cole,124,2016-17,NBA,OKC,13,0,124,16,52,.308,13,39,.333,3,13,.231,8,10,.800,.381,0,11,11,14,8,0,7,18,43,1.5,-6.7,-16,coleno01
60,Nick Collison,128,2016-17,NBA,OKC,20,0,128,14,23,.609,14,22,.636,0,1,.000,5,8,.625,.622,9,22,31,12,2,2,4,17,33,1.8,-0.2,-39,collini01
61,Udonis Haslem,131,2016-17,NBA,MIA,16,0,131,11,23,.478,11,20,.550,0,3,.000,9,15,.600,.524,8,28,36,6,6,1,8,22,31,1.6,-5.3,-68,hasleud01
62,Adreian Payne,134,2016-17,NBA,MIN,18,0,134,23,54,.426,20,39,.513,3,15,.200,14,19,.737,.505,9,24,33,7,8,7,8,32,63,2.4,-2.3,9,paynead01
63,Ronnie Price,135,2016-17,NBA,PHO,14,0,135,4,24,.167,1,7,.143,3,17,.176,3,4,.750,.272,3,8,11,18,11,1,3,14,14,1.3,-3.4,-43,pricero01
64,Joe Young,137,2016-17,NBA,IND,33,0,137,26,72,.361,21,49,.429,5,23,.217,11,15,.733,.433,1,16,17,15,4,0,5,5,68,1.2,-5.2,-57,youngjo01
65,Jordan Mickey,142,2016-17,NBA,BOS,25,1,142,15,34,.441,15,33,.455,0,1,.000,8,14,.571,.473,13,21,34,7,3,6,9,12,38,1.3,-4.7,-58,mickejo01
66,Henry Ellenson,145,2016-17,NBA,DET,19,2,145,23,64,.359,13,29,.448,10,35,.286,4,8,.500,.444,8,33,41,7,1,1,14,6,60,1.5,-5.9,-5,ellenhe01
67,Mike Miller,152,2016-17,NBA,DEN,20,0,152,9,23,.391,1,3,.333,8,20,.400,2,2,1.000,.586,2,36,38,22,2,0,13,9,28,1.4,-1.5,-5,millemi01
68,Alex Poythress,157,2016-17,NBA,PHI,6,1,157,25,54,.463,19,35,.543,6,19,.316,8,10,.800,.548,11,18,29,5,3,2,3,14,64,8.0,-2.9,-35,poythal01
69,Anthony Brown,159,2016-17,NBA,NOPORL,11,0,159,18,50,.360,11,23,.478,7,27,.259,0,0,,.430,8,25,33,8,5,1,6,15,43,2.5,-4.4,4,brownan02
70,A.J. Hammons,160,2016-17,NBA,DAL,22,0,160,17,42,.405,12,32,.375,5,10,.500,9,20,.450,.472,8,28,36,4,1,13,10,21,48,1.3,-6.6,-5,hammoaj01
71,Metta World Peace,162,2016-17,NBA,LAL,25,2,162,19,68,.279,10,30,.333,9,38,.237,10,16,.625,.380,5,15,20,11,10,2,7,18,57,1.1,-6.1,-61,artesro01
72,Malik Beasley,165,2016-17,NBA,DEN,22,1,165,33,73,.452,24,45,.533,9,28,.321,8,10,.800,.536,5,12,17,11,7,0,8,10,83,2.5,-0.6,58,beaslma01
73,Marshall Plumlee,171,2016-17,NBA,NYK,21,1,171,16,30,.533,16,30,.533,0,0,,8,19,.421,.521,23,28,51,10,4,4,12,23,40,1.8,-4.6,-3,plumlma02
74,Nicolás Laprovíttola,173,2016-17,NBA,SAS,18,3,173,20,47,.426,10,20,.500,10,27,.370,9,9,1.000,.579,1,9,10,28,4,1,19,19,59,2.0,-3.9,-44,laproni01
75,Treveon Graham,187,2016-17,NBA,CHO,27,1,187,19,40,.475,10,25,.400,9,15,.600,10,15,.667,.612,5,17,22,6,6,1,3,18,57,1.6,-1.0,-39,grahatr01
76,Quinn Cook,188,2016-17,NBA,DALNOP,14,0,188,33,66,.500,22,40,.550,11,26,.423,2,5,.400,.579,1,6,7,26,4,0,13,13,79,3.7,-3.1,-41,cookqu01
77,Cheick Diallo,198,2016-17,NBA,NOP,17,0,198,36,76,.474,36,76,.474,0,0,,15,21,.714,.510,23,50,73,4,4,7,7,17,87,4.4,-3.7,-53,diallch01
78,Malachi Richardson,198,2016-17,NBA,SAC,22,0,198,28,68,.412,20,40,.500,8,28,.286,15,19,.789,.517,3,20,23,11,5,1,8,23,79,2.1,-4.8,-17,richama01
79,Mike Scott,198,2016-17,NBA,ATL,18,0,198,17,59,.288,13,32,.406,4,27,.148,7,8,.875,.360,10,27,37,17,4,3,8,12,45,1.7,-5.5,-42,scottmi01
80,Briante Weber,206,2016-17,NBA,CHOGSW,20,0,206,25,60,.417,24,50,.480,1,10,.100,11,16,.688,.462,8,18,26,21,12,1,8,16,62,2.6,-3.7,-50,weberbr01
81,Archie Goodwin,213,2016-17,NBA,BRKNOP,15,0,213,36,66,.545,31,51,.608,5,15,.333,33,42,.786,.651,7,21,28,24,4,5,14,8,110,6.2,1.9,-36,goodwar01
82,Rakeem Christmas,217,2016-17,NBA,IND,29,0,217,19,43,.442,19,43,.442,0,0,,21,29,.724,.529,26,30,56,4,3,6,8,37,59,1.6,-5.0,-34,chrisra01
83,James Young,221,2016-17,NBA,BOS,29,0,221,25,58,.431,13,23,.565,12,35,.343,6,9,.667,.549,6,20,26,4,10,2,4,15,68,1.7,-1.3,-38,youngja01
84,Jonathan Gibson,231,2016-17,NBA,DAL,17,0,231,35,95,.368,20,50,.400,15,45,.333,21,29,.724,.492,1,21,22,26,8,0,21,21,106,3.2,-3.7,-83,gibsojo01
85,Shawn Long,233,2016-17,NBA,PHI,18,0,233,61,109,.560,54,90,.600,7,19,.368,19,35,.543,.595,41,44,85,13,9,9,13,49,148,6.9,1.2,20,longsh01
86,Wayne Selden,236,2016-17,NBA,MEMNOP,14,5,236,25,58,.431,18,30,.600,7,28,.250,14,22,.636,.525,1,15,16,13,6,1,12,18,71,2.8,-5.5,-42,seldewa01
87,Deyonta Davis,237,2016-17,NBA,MEM,36,0,237,24,47,.511,24,47,.511,0,0,,10,18,.556,.528,20,40,60,2,3,17,8,40,58,1.4,-4.6,-42,davisde01
88,Marcelo Huertas,238,2016-17,NBA,LAL,23,1,238,25,68,.368,21,49,.429,4,19,.211,9,17,.529,.417,2,22,24,52,10,2,19,16,63,2.3,-4.6,-43,huertma01
89,Jake Layman,252,2016-17,NBA,POR,35,1,252,26,89,.292,13,38,.342,13,51,.255,13,17,.765,.404,6,18,24,11,9,3,11,22,78,0.9,-6.4,-1,laymaja01
90,Anthony Bennett,265,2016-17,NBA,BRK,23,1,265,38,92,.413,25,44,.568,13,48,.271,26,36,.722,.533,25,53,78,12,5,3,12,18,115,4.0,-1.4,-68,bennean01
91,Paul Pierce,278,2016-17,NBA,LAC,25,7,278,28,70,.400,13,27,.481,15,43,.349,10,13,.769,.535,1,47,48,10,4,5,16,40,81,1.6,-4.7,28,piercpa01
92,Bryn Forbes,285,2016-17,NBA,SAS,36,0,285,36,99,.364,19,46,.413,17,53,.321,5,6,.833,.462,2,21,23,23,1,0,11,20,94,1.2,-5.4,-51,forbebr01
93,Sheldon Mac,287,2016-17,NBA,WAS,30,3,287,30,75,.400,23,45,.511,7,30,.233,23,27,.852,.518,4,30,34,15,8,2,5,17,90,2.3,-2.3,-55,mcclesh01
94,Boban Marjanović,292,2016-17,NBA,DET,35,0,292,72,132,.545,72,132,.545,0,0,,47,58,.810,.606,46,84,130,9,6,12,10,25,191,5.2,5.5,32,marjabo01
95,Fred VanVleet,294,2016-17,NBA,TOR,37,0,294,39,111,.351,28,82,.341,11,29,.379,18,22,.818,.443,4,38,42,35,16,3,15,36,107,1.9,-2.1,63,vanvlfr01
96,Chasson Randle,300,2016-17,NBA,NYKPHI,26,0,300,40,98,.408,24,51,.471,16,47,.340,41,43,.953,.586,6,26,32,34,9,2,19,39,137,3.7,-1.7,-11,randlch01
97,Alan Anderson,309,2016-17,NBA,LAC,30,0,309,30,80,.375,16,36,.444,14,44,.318,12,16,.750,.494,3,21,24,11,3,0,7,35,86,1.3,-6.1,-77,anderal01
98,Damjan Rudež,312,2016-17,NBA,ORL,45,0,312,31,88,.352,11,24,.458,20,64,.313,0,0,,.466,5,20,25,20,12,1,9,31,82,1.1,-4.5,-76,rudezda01
99,Pat Connaughton,318,2016-17,NBA,POR,39,1,318,37,72,.514,20,39,.513,17,33,.515,7,9,.778,.645,10,42,52,28,6,2,17,23,98,2.1,-0.7,-17,connapa01
100,Dejounte Murray,318,2016-17,NBA,SAS,38,8,318,50,116,.431,41,93,.441,9,23,.391,21,30,.700,.503,6,36,42,48,8,6,38,29,130,2.0,-4.8,1,murrade01
101,Maurice Ndour,334,2016-17,NBA,NYK,32,4,334,39,86,.453,38,79,.481,1,7,.143,19,26,.731,.503,22,42,64,8,15,8,12,30,98,2.5,-2.8,-2,ndourma01
102,Andrew Nicholson,342,2016-17,NBA,BRKWAS,38,0,342,43,111,.387,38,84,.452,5,27,.185,9,14,.643,.427,15,46,61,10,16,6,17,55,100,1.3,-6.0,-129,nichoan01
103,Raul Neto,346,2016-17,NBA,UTA,40,0,346,41,91,.451,31,60,.517,10,31,.323,8,9,.889,.527,4,26,30,34,21,5,15,48,100,1.9,-0.1,84,netora01
104,Georgios Papagiannis,355,2016-17,NBA,SAC,22,0,355,56,102,.549,56,100,.560,0,2,.000,12,14,.857,.573,24,62,86,20,3,17,24,44,124,4.4,-3.8,-31,papagge01
105,Lance Stephenson,362,2016-17,NBA,INDMINNOP,18,0,362,54,120,.450,48,100,.480,6,20,.300,8,13,.615,.485,4,48,52,59,5,3,26,32,122,4.7,-4.0,10,stephla01
106,DeAndre' Bembry,370,2016-17,NBA,ATL,38,1,370,47,98,.480,46,80,.575,1,18,.056,6,16,.375,.481,14,45,59,28,8,5,16,21,101,2.0,-3.5,-47,bembrde01
107,Darrun Hilliard,380,2016-17,NBA,DET,39,1,380,47,126,.373,35,80,.438,12,46,.261,21,28,.750,.459,2,31,33,33,11,2,28,39,127,1.5,-6.0,13,hillida01
108,James Jones,380,2016-17,NBA,CLE,48,2,380,44,92,.478,13,26,.500,31,66,.470,13,20,.650,.655,3,34,37,14,6,10,10,37,132,1.9,-0.3,-100,jonesja02
109,Josh McRoberts,382,2016-17,NBA,MIA,22,14,382,44,118,.373,31,87,.356,13,31,.419,6,9,.667,.439,23,51,74,50,10,4,23,31,107,3.8,-1.6,-72,mcrobjo01
110,Kyle Singler,384,2016-17,NBA,OKC,32,2,384,34,83,.410,27,46,.587,7,37,.189,13,17,.765,.486,8,40,48,9,7,5,11,29,88,1.7,-4.3,8,singlky01
111,Jordan McRae,385,2016-17,NBA,CLE,37,4,385,58,150,.387,40,99,.404,18,51,.353,27,34,.794,.488,6,35,41,19,8,6,14,31,161,2.4,-3.7,-60,mcraejo01
112,Kay Felder,386,2016-17,NBA,CLE,42,0,386,62,158,.392,55,136,.404,7,22,.318,35,49,.714,.462,3,38,41,58,18,7,30,38,166,2.5,-2.4,-52,feldeka01
113,Toney Douglas,395,2016-17,NBA,MEM,24,0,395,43,117,.368,36,75,.480,7,42,.167,24,29,.828,.451,13,48,61,56,18,5,21,50,117,3.9,-1.5,11,douglto01
114,David Nwaba,398,2016-17,NBA,LAL,20,2,398,47,81,.580,46,76,.605,1,5,.200,25,39,.641,.611,17,46,63,14,13,7,11,36,120,5.2,-2.2,11,nwabada01
115,Wade Baldwin,407,2016-17,NBA,MEM,33,1,407,36,115,.313,33,93,.355,3,22,.136,31,37,.838,.404,11,35,46,61,18,7,39,40,106,2.0,-5.5,-139,baldwwa01
116,Sasha Vujačić,408,2016-17,NBA,NYK,42,4,408,42,136,.309,19,62,.306,23,74,.311,17,24,.708,.423,12,47,59,52,13,2,16,38,124,2.0,-3.2,-9,vujacsa01
117,Brian Roberts,412,2016-17,NBA,CHO,41,2,412,46,122,.377,29,78,.372,17,44,.386,33,39,.846,.510,5,34,39,52,9,1,26,18,142,2.4,-4.2,-55,roberbr01
