Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Ron Baker,7,2016-10-25,23-209,NYK,@,CLE,L 88-117,,7,2,3,.667,1,2,.500,1,1,1.000,0,0,,.833,0,1,1,0,0,0,0,0,5,4.0,11.4,-5,G,bakerro01
2,Tony Parker,26,2016-10-25,34-161,SAS,@,GSW,W 129-100,*,26,4,9,.444,3,7,.429,1,2,.500,0,0,,.500,0,3,3,4,0,0,2,4,9,4.4,-6.2,-12,G,parketo01
3,Kevin Love,25,2016-10-25,28-048,CLE,,NYK,W 117-88,*,25,6,15,.400,4,9,.444,2,6,.333,9,12,.750,.567,2,10,12,2,3,0,2,3,23,19.3,8.9,24,F-C,loveke01
4,Draymond Green,33,2016-10-25,26-235,GSW,,SAS,L 100-129,*,33,7,14,.500,5,9,.556,2,5,.400,2,2,1.000,.605,5,7,12,6,5,1,2,2,18,23.7,16.1,-5,F,greendr01
5,Mindaugas Kuzminskas,9,2016-10-25,27-006,NYK,@,CLE,L 88-117,,9,3,5,.600,2,2,1.000,1,3,.333,0,0,,.700,0,1,1,0,0,0,0,0,7,5.0,8.5,-4,F,kuzmimi01
6,Justin Holiday,26,2016-10-25,27-203,NYK,@,CLE,L 88-117,,26,2,7,.286,0,4,.000,2,3,.667,2,2,1.000,.508,1,5,6,2,1,0,0,0,8,8.5,2.7,-14,F,holidju01
7,Iman Shumpert,14,2016-10-25,26-121,CLE,,NYK,W 117-88,,14,1,3,.333,1,2,.500,0,1,.000,0,0,,.333,1,1,2,3,0,1,2,2,2,1.3,-5.3,-5,G,shumpim01
8,Richard Jefferson,26,2016-10-25,36-126,CLE,,NYK,W 117-88,,26,5,7,.714,3,4,.750,2,3,.667,1,2,.500,.825,0,4,4,1,2,0,2,1,13,11.2,5.8,18,F,jefferi01
9,Willy Hernangómez,9,2016-10-25,22-151,NYK,@,CLE,L 88-117,,9,2,3,.667,2,3,.667,0,0,,0,0,,.667,1,0,1,0,0,0,1,1,4,2.0,-7.3,-3,C,hernawi01
10,Joe Johnson,31,2016-10-25,35-118,UTA,@,POR,L 104-113,*,31,12,16,.750,9,12,.750,3,4,.750,2,2,1.000,.859,0,4,4,3,1,0,2,0,29,24.9,15.9,-2,G-F,johnsjo02
11,JaVale McGee,4,2016-10-25,28-280,GSW,,SAS,L 100-129,,4,1,2,.500,1,2,.500,0,0,,0,1,.000,.410,0,0,0,0,0,0,0,0,2,0.6,-11.1,-6,C,mcgeeja01
12,Lance Thomas,17,2016-10-25,28-184,NYK,@,CLE,L 88-117,,17,1,4,.250,1,4,.250,0,0,,0,0,,.250,0,1,1,1,2,0,1,2,2,0.8,-6.0,-11,F,thomala01
13,Meyers Leonard,9,2016-10-25,24-241,POR,,UTA,W 113-104,,9,0,2,.000,0,1,.000,0,1,.000,0,0,,.000,0,1,1,1,0,0,0,1,0,-0.8,-12.8,-7,C-F,leoname01
14,Pau Gasol,18,2016-10-25,36-111,SAS,@,GSW,W 129-100,*,18,1,4,.250,1,4,.250,0,0,,0,0,,.250,0,4,4,1,0,0,1,3,2,-0.7,-10.7,-13,C-F,gasolpa01
15,Manu Ginóbili,21,2016-10-25,39-089,SAS,@,GSW,W 129-100,,21,4,10,.400,2,4,.500,2,6,.333,0,0,,.500,0,5,5,2,1,0,0,1,10,8.1,3.4,22,G,ginobma01
16,Mason Plumlee,15,2016-10-25,26-234,POR,,UTA,W 113-104,*,15,1,4,.250,1,4,.250,0,0,,0,0,,.250,0,1,1,1,0,0,0,4,2,-1.0,-16.1,-7,C-F,plumlma01
17,Carmelo Anthony,30,2016-10-25,32-149,NYK,@,CLE,L 88-117,*,30,8,18,.444,7,14,.500,1,4,.250,2,2,1.000,.503,1,4,5,3,1,0,4,5,19,8.6,-2.7,-19,F,anthoca01
18,Channing Frye,14,2016-10-25,33-161,CLE,,NYK,W 117-88,,14,2,6,.333,0,1,.000,2,5,.400,0,0,,.500,2,2,4,0,1,1,1,4,6,3.7,-2.8,7,C-F,fryech01
19,Patrick McCaw,9,2016-10-25,21-000,GSW,,SAS,L 100-129,,9,1,3,.333,1,1,1.000,0,2,.000,0,0,,.333,0,0,0,2,1,1,0,0,2,3.4,8.6,-4,G,mccawpa01
20,Andre Iguodala,27,2016-10-25,32-271,GSW,,SAS,L 100-129,,27,1,3,.333,1,1,1.000,0,2,.000,0,0,,.333,1,1,2,3,1,0,1,3,2,2.2,-6.9,-28,F-G,iguodan01
