Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Thanasis Antetokounmpo,0,2024-04-09,31-266,MIL,,BOS,W 104-91,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.1,-2,F,antetth01
2,Thanasis Antetokounmpo,0,2023-12-17,31-152,MIL,,HOU,W 128-119,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-4.8,-3,F,antetth01
3,Ryan Arcidiacono,0,2024-01-30,29-310,NYK,,UTA,W 118-103,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,1,0,0,-1.0,-116.4,0,G,arcidry01
4,Dalano Banton,0,2023-12-08,24-031,BOS,,NYK,W 133-123,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.9,-2,G-F,bantoda01
5,Dominick Barlow,0,2024-03-03,20-282,SAS,,IND,W 117-105,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.9,,F,barlodo01
6,Nicolas Batum,0,2024-02-23,35-071,PHI,,CLE,W 104-97,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.8,2,F-G,batumni01
7,MarJon Beauchamp,0,2023-12-23,23-072,MIL,@,NYK,W 130-111,,0,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,0,0,0,0.3,18.4,0,G,beaucma01
8,Dāvis Bertāns,0,2024-01-31,31-080,OKC,,DEN,W 105-100,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.1,0,F,bertada01
9,Dāvis Bertāns,0,2023-12-08,31-026,OKC,,GSW,W 138-136 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.3,2,F,bertada01
10,Goga Bitadze,0,2024-01-29,24-193,ORL,@,DAL,L 129-131,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.1,0,C,bitadgo01
11,Bismack Biyombo,0,2023-11-03,31-067,MEM,@,POR,L 113-115 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.3,,C-F,biyombi01
12,Anthony Black,0,2024-02-04,20-015,ORL,@,DET,W 111-99,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.3,-2,G,blackan01
