Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Kevin Durant,38,2017-10-17,29-018,GSW,,HOU,L 121-122,*,38,7,15,.467,5,10,.500,2,5,.400,4,5,.800,.581,1,4,5,7,0,4,8,4,20,11.9,-4.2,11,F-G,duranke01
2,LeBron James,41,2017-10-17,32-291,CLE,,BOS,W 102-99,*,41,12,19,.632,11,14,.786,1,5,.200,4,4,1.000,.698,1,15,16,9,0,2,4,3,29,28.2,14.5,0,F-G,jamesle01
3,Ryan Anderson,33,2017-10-17,29-164,HOU,@,GSW,W 122-121,*,33,5,12,.417,2,4,.500,3,8,.375,0,0,,.542,3,5,8,1,1,1,0,3,13,11.4,1.3,8,F,anderry01
4,Aron Baynes,19,2017-10-17,30-312,BOS,@,CLE,L 99-102,,19,2,2,1.000,2,2,1.000,0,0,,2,4,.500,.798,2,3,5,1,0,1,2,5,6,4.3,-4.5,-14,C,baynear01
5,David West,9,2017-10-17,37-049,GSW,,HOU,L 121-122,,9,2,3,.667,2,3,.667,0,0,,0,0,,.667,1,0,1,0,0,1,1,0,4,3.1,-3.8,0,F-C,westda01
6,Kyle Korver,7,2017-10-17,36-214,CLE,,BOS,W 102-99,,7,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,2,0,-0.8,-9.4,-1,G-F,korveky01
7,Iman Shumpert,13,2017-10-17,27-113,CLE,,BOS,W 102-99,,13,2,3,.667,2,3,.667,0,0,,0,0,,.667,1,1,2,0,1,0,1,3,4,2.5,0.0,9,G,shumpim01
8,Shane Larkin,5,2017-10-17,25-015,BOS,@,CLE,L 99-102,,5,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,1,1,0,0,0,0,0,0,-0.4,-15.0,2,G,larkish01
9,Derrick Rose,31,2017-10-17,29-013,CLE,,BOS,W 102-99,*,31,5,14,.357,4,11,.364,1,3,.333,3,4,.750,.444,1,3,4,2,0,0,2,2,14,6.0,-4.1,-7,G,rosede01
10,Jayson Tatum,37,2017-10-17,19-228,BOS,@,CLE,L 99-102,*,37,5,12,.417,4,10,.400,1,2,.500,3,3,1.000,.526,4,6,10,3,0,0,1,4,14,11.7,-1.3,8,F,tatumja01
11,Draymond Green,28,2017-10-17,27-227,GSW,,HOU,L 121-122,*,28,2,6,.333,1,4,.250,1,2,.500,4,4,1.000,.580,1,10,11,13,0,0,2,3,9,15.2,9.1,7,F,greendr01
12,Kevon Looney,8,2017-10-17,21-253,GSW,,HOU,L 121-122,,8,0,0,,0,0,,0,0,,1,2,.500,.568,0,2,2,0,1,0,0,2,1,1.4,-1.6,-7,F-C,looneke01
13,Marcus Smart,35,2017-10-17,23-225,BOS,@,CLE,L 99-102,,35,5,16,.313,5,12,.417,0,4,.000,2,3,.667,.346,0,9,9,3,2,2,2,2,12,7.8,-4.0,-8,G,smartma01
14,Klay Thompson,38,2017-10-17,27-251,GSW,,HOU,L 121-122,*,38,6,14,.429,2,7,.286,4,7,.571,0,0,,.571,0,6,6,3,2,2,1,0,16,14.9,3.0,0,G-F,thompkl01
15,Dwyane Wade,29,2017-10-17,35-273,CLE,,BOS,W 102-99,*,29,3,10,.300,3,9,.333,0,1,.000,2,2,1.000,.368,1,1,2,3,0,2,4,1,8,2.3,-5.5,-1,G,wadedw01
16,Nick Young,26,2017-10-17,32-138,GSW,,HOU,L 121-122,,26,8,9,.889,2,2,1.000,6,7,.857,1,1,1.000,1.218,1,1,2,0,0,0,1,4,23,18.3,13.1,-10,G-F,youngni01
17,Tristan Thompson,20,2017-10-17,26-218,CLE,,BOS,W 102-99,,20,2,3,.667,2,3,.667,0,0,,1,3,.333,.579,1,5,6,2,0,0,2,3,5,3.3,-0.4,5,F-C,thomptr01
