Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Jrue Holiday,18,2021-10-19,31-129,MIL,,BRK,W 127-104,*,18,5,7,.714,3,3,1.000,2,4,.500,0,0,,.857,1,0,1,1,1,0,0,0,12,11.5,11.0,17,G,holidjr01
2,Giannis Antetokounmpo,31,2021-10-19,26-317,MIL,,BRK,W 127-104,*,31,12,25,.480,11,21,.524,1,4,.250,7,9,.778,.552,5,9,14,7,1,2,4,4,32,26.4,11.4,25,F-G,antetgi01
3,Kent Bazemore,31,2021-10-19,32-110,LAL,,GSW,L 114-121,*,31,3,9,.333,1,1,1.000,2,8,.250,0,0,,.444,0,2,2,0,0,1,1,4,8,1.6,-5.8,10,G-F,bazemke01
4,Cam Thomas,4,2021-10-19,20-006,BRK,@,MIL,L 104-127,,4,0,2,.000,0,1,.000,0,1,.000,2,2,1.000,.347,0,0,0,0,0,0,1,0,2,-0.4,-29.5,-9,G,thomaca02
5,Brook Lopez,28,2021-10-19,33-201,MIL,,BRK,W 127-104,*,28,3,9,.333,1,5,.200,2,4,.500,0,0,,.444,2,3,5,0,1,3,0,3,8,7.1,-2.2,0,C,lopezbr01
6,Justin Robinson,4,2021-10-19,24-007,MIL,,BRK,W 127-104,,4,1,2,.500,0,0,,1,2,.500,0,0,,.750,0,0,0,0,0,0,0,0,3,2.0,6.6,11,G,robinju01
7,James Harden,31,2021-10-19,32-054,BRK,@,MIL,L 104-127,*,31,6,16,.375,2,8,.250,4,8,.500,4,4,1.000,.563,3,5,8,8,1,2,4,3,20,17.6,6.9,-20,G,hardeja01
8,Paul Millsap,5,2021-10-19,36-251,BRK,@,MIL,L 104-127,,5,0,0,,0,0,,0,0,,0,0,,,1,2,3,0,0,1,1,0,0,1.0,-6.4,-1,F,millspa01
9,Joe Harris,31,2021-10-19,30-043,BRK,@,MIL,L 104-127,*,31,3,9,.333,0,4,.000,3,5,.600,0,0,,.500,0,2,2,2,0,0,2,1,9,3.5,-7.7,0,G,harrijo01
10,Malik Monk,19,2021-10-19,23-257,LAL,,GSW,L 114-121,,19,2,5,.400,0,1,.000,2,4,.500,0,0,,.600,0,3,3,1,2,0,1,1,6,5.5,3.0,-10,G,monkma01
11,Jordan Nwora,26,2021-10-19,23-040,MIL,,BRK,W 127-104,,26,6,13,.462,3,7,.429,3,6,.500,0,0,,.577,0,6,6,1,1,1,1,3,15,10.3,1.1,6,F,nworajo01
12,Gary Payton II,0,2021-10-19,28-322,GSW,@,LAL,W 121-114,,0,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.7,-302.4,0,G,paytoga02
13,Khris Middleton,31,2021-10-19,30-068,MIL,,BRK,W 127-104,*,31,8,17,.471,7,13,.538,1,4,.250,3,4,.750,.533,0,9,9,3,1,0,1,3,20,14.5,-1.1,20,F-G,middlkh01
14,Anthony Davis,39,2021-10-19,28-222,LAL,,GSW,L 114-121,*,39,15,26,.577,14,21,.667,1,5,.200,2,7,.286,.567,2,9,11,2,1,2,0,0,33,26.7,8.2,-2,F-C,davisan02
15,Andrew Wiggins,26,2021-10-19,26-238,GSW,@,LAL,W 121-114,*,26,5,10,.500,3,5,.600,2,5,.400,0,0,,.600,1,6,7,1,1,0,2,3,12,8.0,-1.0,-5,F-G,wiggian01
16,LaMarcus Aldridge,16,2021-10-19,36-092,BRK,@,MIL,L 104-127,,16,0,2,.000,0,2,.000,0,0,,1,4,.250,.133,0,3,3,1,0,1,1,2,1,-1.1,-15.0,2,F-C,aldrila01
17,Jevon Carter,19,2021-10-19,26-035,BRK,@,MIL,L 104-127,,19,0,3,.000,0,1,.000,0,2,.000,0,0,,.000,0,2,2,0,0,0,1,1,0,-2.9,-18.0,-29,G,carteje01
18,Nemanja Bjelica,26,2021-10-19,33-163,GSW,@,LAL,W 121-114,,26,6,7,.857,5,6,.833,1,1,1.000,2,2,1.000,.952,2,9,11,4,1,0,1,2,15,18.6,13.0,20,F,bjeline01
19,Carmelo Anthony,26,2021-10-19,37-143,LAL,,GSW,L 114-121,,26,3,9,.333,1,5,.200,2,4,.500,1,2,.500,.455,0,4,4,2,0,0,1,2,9,4.3,-3.5,-5,F,anthoca01
20,Patty Mills,29,2021-10-19,33-069,BRK,@,MIL,L 104-127,,29,7,11,.636,0,4,.000,7,7,1.000,0,0,,.955,0,2,2,2,1,1,0,1,21,19.4,14.9,7,G,millspa02
21,Sandro Mamukelashvili,7,2021-10-19,22-149,MIL,,BRK,W 127-104,,7,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,1,1,1,0,0,0,0,0,0.3,-6.9,9,C-F,mamuksa01
22,Avery Bradley,8,2021-10-19,30-327,LAL,,GSW,L 114-121,,8,2,3,.667,0,0,,2,3,.667,0,0,,1.000,1,0,1,1,0,0,1,2,6,4.3,10.4,1,G,bradlav01
23,Kevon Looney,15,2021-10-19,25-255,GSW,@,LAL,W 121-114,*,15,3,5,.600,3,5,.600,0,0,,1,2,.500,.595,2,2,4,1,1,1,1,0,7,7.7,4.3,-8,F-C,looneke01
24,Moses Moody,6,2021-10-19,19-141,GSW,@,LAL,W 121-114,,6,1,3,.333,1,3,.333,0,0,,0,0,,.333,0,2,2,0,0,0,0,0,2,0.9,-9.4,-1,G,moodymo01
25,Georgios Kalaitzakis,1,2021-10-19,22-290,MIL,,BRK,W 127-104,,1,0,2,.000,0,2,.000,0,0,,0,0,,.000,2,0,2,0,0,0,0,0,0,0.0,-45.3,2,G-F,kalaige01
26,Nic Claxton,24,2021-10-19,22-185,BRK,@,MIL,L 104-127,*,24,6,9,.667,6,9,.667,0,0,,0,3,.000,.581,0,7,7,0,0,0,0,3,12,7.8,-5.6,-15,C,claxtni01
27,LeBron James,37,2021-10-19,36-293,LAL,,GSW,L 114-121,*,37,13,23,.565,8,12,.667,5,11,.455,3,6,.500,.663,1,10,11,5,1,1,4,5,34,24.8,10.4,-2,F-G,jamesle01
28,Jordan Poole,25,2021-10-19,22-122,GSW,@,LAL,W 121-114,*,25,8,18,.444,4,7,.571,4,11,.364,0,1,.000,.542,0,2,2,3,1,0,2,2,20,11.1,1.9,2,G,poolejo01
29,Pat Connaughton,30,2021-10-19,28-286,MIL,,BRK,W 127-104,,30,8,13,.615,4,4,1.000,4,9,.444,0,0,,.769,0,3,3,2,1,1,0,0,20,18.1,11.0,0,G,connapa01
30,Kevin Durant,30,2021-10-19,33-020,BRK,@,MIL,L 104-127,*,30,13,25,.520,10,18,.556,3,7,.429,3,6,.500,.579,0,11,11,4,0,2,1,2,32,24.2,11.1,-20,F-G,duranke01
31,Draymond Green,30,2021-10-19,31-229,GSW,@,LAL,W 121-114,*,30,2,5,.400,2,5,.400,0,0,,2,4,.500,.444,3,5,8,6,1,0,5,3,6,5.1,-4.8,-2,F,greendr01
32,Andre Iguodala,23,2021-10-19,37-264,GSW,@,LAL,W 121-114,,23,4,7,.571,2,2,1.000,2,5,.400,2,2,1.000,.761,0,1,1,2,0,1,0,1,12,10.7,6.6,8,F-G,iguodan01
33,George Hill,23,2021-10-19,35-168,MIL,,BRK,W 127-104,,23,0,3,.000,0,1,.000,0,2,.000,1,2,.500,.129,2,3,5,3,0,1,1,5,1,0.6,-9.6,-6,G,hillge01
34,Blake Griffin,23,2021-10-19,32-217,BRK,@,MIL,L 104-127,*,23,2,5,.400,2,4,.500,0,1,.000,2,2,1.000,.510,1,4,5,0,1,0,1,1,6,4.8,-7.4,-6,F-C,griffbl01
35,Thanasis Antetokounmpo,12,2021-10-19,29-093,MIL,,BRK,W 127-104,,12,2,3,.667,2,3,.667,0,0,,2,2,1.000,.773,1,3,4,1,0,1,0,1,6,7.3,7.8,8,F,antetth01
36,James Johnson,21,2021-10-19,34-241,BRK,@,MIL,L 104-127,,21,0,2,.000,0,1,.000,0,1,.000,1,2,.500,.174,0,0,0,2,0,1,0,3,1,0.1,-9.5,-6,F,johnsja01
37,Damion Lee,29,2021-10-19,28-363,GSW,@,LAL,W 121-114,,29,4,10,.400,3,5,.600,1,5,.200,6,6,1.000,.593,0,1,1,2,0,0,0,3,15,10.1,-0.7,9,G,leeda03
38,Stephen Curry,36,2021-10-19,33-219,GSW,@,LAL,W 121-114,*,36,5,21,.238,3,13,.231,2,8,.250,9,9,1.000,.421,1,9,10,10,3,0,4,1,21,17.3,1.8,4,G,curryst01
39,Otto Porter Jr.,12,2021-10-19,28-138,GSW,@,LAL,W 121-114,,12,1,3,.333,0,1,.000,1,2,.500,2,2,1.000,.644,0,1,1,0,1,0,1,2,5,2.8,-1.9,1,F,porteot01
40,Dwight Howard,13,2021-10-19,35-315,LAL,,GSW,L 114-121,,13,1,2,.500,1,2,.500,0,0,,3,4,.750,.665,0,6,6,0,0,0,2,2,5,2.6,-6.6,-7,C,howardw01
41,Rajon Rondo,20,2021-10-19,35-239,LAL,,GSW,L 114-121,,20,1,4,.250,0,1,.000,1,3,.333,0,0,,.375,0,0,0,5,2,0,3,2,3,2.3,-2.3,1,G,rondora01
42,DeAndre Jordan,13,2021-10-19,33-090,LAL,,GSW,L 114-121,*,13,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,2,2,1,1,0,0,3,2,2.8,2.0,2,C,jordade01
43,Juan Toscano-Anderson,12,2021-10-19,28-192,GSW,@,LAL,W 121-114,,12,2,3,.667,1,1,1.000,1,2,.500,1,2,.500,.773,0,3,3,1,0,0,1,1,6,4.5,1.4,7,F,toscaju01
44,Russell Westbrook,35,2021-10-19,32-341,LAL,,GSW,L 114-121,*,35,4,13,.308,4,9,.444,0,4,.000,0,0,,.308,1,4,5,4,0,0,4,4,8,-0.4,-12.6,-23,G,westbru01
45,Grayson Allen,28,2021-10-19,26-011,MIL,,BRK,W 127-104,*,28,3,10,.300,0,0,,3,10,.300,1,1,1.000,.479,0,4,4,6,2,0,0,0,10,11.6,6.3,23,G,allengr01
46,Bruce Brown,4,2021-10-19,25-065,BRK,@,MIL,L 104-127,,4,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,1,0,0,0,1.0,4.1,-9,G-F,brownbr01
47,DeAndre' Bembry,4,2021-10-19,27-107,BRK,@,MIL,L 104-127,,4,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.7,-9,F,bembrde01
48,Luguentz Dort,30,2021-10-20,22-184,OKC,@,UTA,L 86-107,*,30,2,10,.200,1,4,.250,1,6,.167,2,4,.500,.298,2,4,6,2,2,0,3,3,7,1.8,-7.9,-21,G,dortlu01
49,Drew Eubanks,14,2021-10-20,24-261,SAS,,ORL,W 123-97,,14,1,2,.500,1,2,.500,0,0,,0,0,,.500,2,4,6,2,0,1,1,2,2,3.9,-0.6,15,F,eubandr01
50,Isaiah Joe,13,2021-10-20,22-110,PHI,@,NOP,W 117-97,,13,0,3,.000,0,1,.000,0,2,.000,0,0,,.000,0,0,0,0,0,0,2,0,0,-4.1,-25.5,-7,G,joeis01
51,Cameron Payne,14,2021-10-20,27-073,PHO,,DEN,L 98-110,,14,3,9,.333,2,6,.333,1,3,.333,3,5,.600,.446,1,1,2,3,1,0,3,2,10,4.4,-3.2,11,G,payneca01
52,Georges Niang,18,2021-10-20,28-125,PHI,@,NOP,W 117-97,,18,4,5,.800,1,1,1.000,3,4,.750,0,0,,1.100,0,0,0,1,0,1,0,1,11,10.1,12.4,18,F,niangge01
53,Eric Paschall,14,2021-10-20,24-350,UTA,,OKC,W 107-86,,14,1,4,.250,0,1,.000,1,3,.333,0,0,,.375,0,3,3,1,0,0,0,1,3,1.8,-3.0,4,F,pascher01
54,Raul Neto,23,2021-10-20,29-154,WAS,@,TOR,W 98-83,,23,4,8,.500,4,7,.571,0,1,.000,0,0,,.500,0,3,3,2,4,0,3,1,8,6.9,2.5,14,G,netora01
55,Terence Davis,13,2021-10-20,24-157,SAC,@,POR,W 124-121,,13,2,10,.200,0,2,.000,2,8,.250,0,0,,.300,0,0,0,3,1,0,1,3,6,0.7,-11.7,-7,G,daviste02
56,Jared Butler,9,2021-10-20,21-056,UTA,,OKC,W 107-86,,9,0,5,.000,0,1,.000,0,4,.000,0,0,,.000,0,1,1,1,0,0,1,1,0,-3.9,-31.6,1,G,butleja02
57,Nikola Jokić,35,2021-10-20,26-243,DEN,@,PHO,W 110-98,*,35,13,22,.591,12,16,.750,1,6,.167,0,0,,.614,2,11,13,2,2,0,3,3,27,20.7,3.9,28,C-F,jokicni01
58,Chris Duarte,33,2021-10-20,24-129,IND,@,CHO,L 122-123,*,33,9,15,.600,3,6,.500,6,9,.667,3,3,1.000,.827,0,5,5,1,1,0,1,4,27,20.7,7.6,7,G,duartch01
59,Kyle Kuzma,35,2021-10-20,26-088,WAS,@,TOR,W 98-83,*,35,4,13,.308,2,4,.500,2,9,.222,1,2,.500,.396,0,15,15,3,1,1,5,2,11,5.6,-4.0,22,F,kuzmaky01
60,Miles Bridges,33,2021-10-20,23-213,CHO,,IND,W 123-122,*,33,4,8,.500,3,4,.750,1,4,.250,4,4,1.000,.666,1,7,8,4,3,1,3,4,13,13.7,1.4,15,G-F,bridgmi02
61,Romeo Langford,23,2021-10-20,21-360,BOS,@,NYK,L 134-138 (2OT),,23,4,6,.667,2,3,.667,2,3,.667,0,0,,.833,2,1,3,0,1,0,3,2,10,6.3,-1.6,-14,G,langfro01
62,Anfernee Simons,18,2021-10-20,22-134,POR,,SAC,L 121-124,,18,5,6,.833,4,4,1.000,1,2,.500,0,0,,.917,0,2,2,4,0,0,1,0,11,11.2,7.5,-9,G,simonan01
63,Trey Murphy III,18,2021-10-20,21-124,NOP,,PHI,L 97-117,,18,2,7,.286,0,2,.000,2,5,.400,0,0,,.429,0,0,0,2,0,0,0,1,6,2.9,-5.1,-4,F,murphtr02
64,Charles Bassey,2,2021-10-20,20-357,PHI,@,NOP,W 117-97,,2,1,2,.500,1,1,1.000,0,1,.000,0,0,,.500,1,1,2,0,0,0,0,0,2,2.0,-1.5,-6,C,bassech01
65,Josh Hart,10,2021-10-20,26-228,NOP,,PHI,L 97-117,*,10,2,2,1.000,2,2,1.000,0,0,,1,2,.500,.868,0,2,2,1,0,0,0,1,5,4.9,2.6,-2,G,hartjo01
66,Dāvis Bertāns,13,2021-10-20,28-342,WAS,@,TOR,W 98-83,,13,0,3,.000,0,0,,0,3,.000,0,0,,.000,0,0,0,2,0,0,0,3,0,-1.9,-11.0,-7,F,bertada01
67,Eric Gordon,23,2021-10-20,32-299,HOU,@,MIN,L 106-124,,23,6,8,.750,3,4,.750,3,4,.750,0,0,,.938,0,2,2,0,1,0,3,0,15,10.4,3.9,-27,G-F,gordoer01
68,Tomáš Satoranský,9,2021-10-20,29-355,NOP,,PHI,L 97-117,,9,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,2,2,2,1,0,1,1,0,0.9,-6.4,-9,G,satorto01
69,Tyus Jones,14,2021-10-20,25-163,MEM,,CLE,W 132-121,,14,4,7,.571,3,5,.600,1,2,.500,0,0,,.643,0,2,2,5,1,0,0,0,9,10.8,10.9,17,G,jonesty01
70,CJ McCollum,35,2021-10-20,30-031,POR,,SAC,L 121-124,*,35,14,24,.583,8,13,.615,6,11,.545,0,0,,.708,2,4,6,5,3,1,5,4,34,26.0,10.9,0,G,mccolcj01
71,Precious Achiuwa,19,2021-10-20,22-031,TOR,,WAS,L 83-98,*,19,3,8,.375,3,8,.375,0,0,,0,2,.000,.338,3,4,7,2,1,0,1,4,6,3.9,-1.4,-6,F,achiupr01
72,Zach LaVine,35,2021-10-20,26-224,CHI,@,DET,W 94-88,*,35,11,17,.647,10,12,.833,1,5,.200,11,11,1.000,.778,0,7,7,4,1,1,2,2,34,30.3,18.3,8,G-F,lavinza01
73,Jakob Poeltl,30,2021-10-20,26-005,SAS,,ORL,W 123-97,*,30,6,8,.750,6,8,.750,0,0,,0,0,,.750,8,5,13,7,0,0,1,3,12,18.6,9.7,11,C,poeltja01
