Rk,Player,MP,Season,Lg,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Player-additional
1,Ahmad Caver,1,2021-22,NBA,IND,1,0,1,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,0,0,0,0,0,0,0,2,1.7,36.9,2,caverah01
2,Sam Dekker,1,2021-22,NBA,TOR,1,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.6,-5,dekkesa01
3,DeJon Jarreau,1,2021-22,NBA,IND,1,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.0,2,jarrede01
4,Ade Murkey,1,2021-22,NBA,SAC,1,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.7,-1,murkead01
5,Jordan Bell,2,2021-22,NBA,CHI,1,0,2,0,0,,0,0,,0,0,,0,0,,,1,0,1,0,1,0,0,2,0,0.9,2.7,1,belljo01
6,Tyler Hall,2,2021-22,NBA,NYK,1,0,2,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.5,-5,hallty01
7,David Johnson,2,2021-22,NBA,TOR,2,0,2,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.4,-27.7,-2,johnsda08
8,Joe Johnson,2,2021-22,NBA,BOS,1,0,2,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,0,0,0,0,0,0,0,2,1.7,15.0,-5,johnsjo02
9,C.J. Miles,2,2021-22,NBA,BOS,1,0,2,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,1,0,-0.4,-16.3,-5,milescj01
10,Matt Mooney,2,2021-22,NBA,NYK,1,0,2,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,0,0,0,1,0,1,0,0,-0.7,-22.3,-5,moonema01
11,Javin DeLaurier,3,2021-22,NBA,MIL,1,0,3,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,1,0,0,1,0,0.9,7.0,4,delauja01
12,Jaime Echenique,3,2021-22,NBA,WAS,1,0,3,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.5,-1,echenja01
13,Nate Hinton,3,2021-22,NBA,IND,2,0,3,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,0,0,0,0,0,1,0,0,-0.9,-42.6,4,hintona01
14,Tyrell Terry,3,2021-22,NBA,MEM,2,0,3,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,0,0,0,0,0,0,1,2,0.7,-1.0,-2,terryty01
15,Zylan Cheatham,5,2021-22,NBA,UTA,1,0,5,0,3,.000,0,1,.000,0,2,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,-2.1,-30.6,-13,cheatzy01
16,Matt Ryan,5,2021-22,NBA,BOS,1,0,5,1,5,.200,0,0,,1,5,.200,0,0,,.300,0,0,0,0,1,0,0,0,3,0.9,-13.7,3,ryanma01
17,Jordan Goodwin,6,2021-22,NBA,WAS,2,0,6,0,3,.000,0,2,.000,0,1,.000,0,0,,.000,0,1,1,0,0,0,0,1,0,-1.1,-34.1,-8,goodwjo01
18,Arnoldas Kulboka,6,2021-22,NBA,CHO,2,0,6,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,1,0,-0.6,-21.8,-12,kulboar01
19,Scottie Lewis,6,2021-22,NBA,CHO,2,0,6,0,0,,0,0,,0,0,,1,2,.500,.568,0,0,0,1,1,0,0,0,1,1.2,6.0,-4,lewissc01
20,Jaden Springer,6,2021-22,NBA,PHI,2,0,6,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,1,1,2,0,0,2,1,0,2,1.6,17.1,-8,sprinja01
21,Paris Bass,7,2021-22,NBA,PHO,2,0,7,2,6,.333,2,4,.500,0,2,.000,2,2,1.000,.436,2,2,4,0,1,0,2,2,6,1.4,-12.4,2,basspa01
22,Jaysean Paige,7,2021-22,NBA,DET,1,0,7,0,3,.000,0,1,.000,0,2,.000,0,0,,.000,0,1,1,1,0,0,1,2,0,-2.9,-31.5,-10,paigeja01
23,Anthony Lamb,8,2021-22,NBA,SAS,2,0,8,0,2,.000,0,0,,0,2,.000,0,0,,.000,0,1,1,2,0,0,0,0,0,0.2,-8.0,5,lamban01
24,Malik Newman,8,2021-22,NBA,CLE,1,0,8,3,5,.600,3,4,.750,0,1,.000,2,2,1.000,.680,0,1,1,1,0,0,1,0,8,5.7,6.4,1,newmama01
25,Jon Teske,8,2021-22,NBA,MEM,3,0,8,0,1,.000,0,1,.000,0,0,,0,2,.000,.000,0,2,2,1,1,0,0,1,0,0.1,-4.8,-3,teskejo01
26,Feron Hunt,9,2021-22,NBA,NYK,2,0,9,0,2,.000,0,2,.000,0,0,,0,0,,.000,1,0,1,1,1,0,1,1,0,-0.2,-11.3,-1,huntfe01
27,DaQuan Jeffries,9,2021-22,NBA,MEM,3,0,9,1,2,.500,1,1,1.000,0,1,.000,0,0,,.500,0,2,2,1,0,0,0,1,2,0.6,-4.9,-3,jeffrda01
