Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
754,MEM,2021-01-16,106,,PHI,W 106-104,240,43,99,.434,35,70,.500,8,29,.276,12,18,.667,106,37,84,.440,30,59,.508,7,25,.280,23,32,.719,104
755,CLE,2021-01-15,106,,NYK,W 106-103,240,36,79,.456,27,52,.519,9,27,.333,25,34,.735,106,40,82,.488,31,57,.544,9,25,.360,14,16,.875,103
756,GSW,2021-01-10,106,,TOR,W 106-105,240,38,93,.409,25,47,.532,13,46,.283,17,19,.895,106,39,96,.406,26,58,.448,13,38,.342,14,22,.636,105
757,UTA,2021-01-01,106,,LAC,W 106-100,240,41,89,.461,26,47,.553,15,42,.357,9,14,.643,106,33,85,.388,20,52,.385,13,33,.394,21,24,.875,100
758,DET,2020-12-29,106,,GSW,L 106-116,240,35,92,.380,22,57,.386,13,35,.371,23,29,.793,106,38,76,.500,24,43,.558,14,33,.424,26,36,.722,116
759,CHO,2020-12-27,106,,BRK,W 106-104,240,43,96,.448,33,62,.532,10,34,.294,10,17,.588,106,35,82,.427,18,35,.514,17,47,.362,17,25,.680,104
760,SAC,2020-12-26,106,,PHO,W 106-103,240,39,86,.453,34,63,.540,5,23,.217,23,33,.697,106,41,98,.418,30,54,.556,11,44,.250,10,13,.769,103
761,CHI,2020-12-26,106,,IND,L 106-125,240,34,91,.374,18,52,.346,16,39,.410,22,25,.880,106,52,93,.559,43,67,.642,9,26,.346,12,19,.632,125
762,PHO,2020-12-23,106,,DAL,W 106-102,240,38,79,.481,27,49,.551,11,30,.367,19,27,.704,106,36,85,.424,27,48,.563,9,37,.243,21,26,.808,102
763,BRK,2021-05-15,105,,CHI,W 105-91,240,41,87,.471,27,53,.509,14,34,.412,9,15,.600,105,34,98,.347,23,57,.404,11,41,.268,12,17,.706,91
764,CLE,2021-05-05,105,,POR,L 105-141,240,37,92,.402,24,54,.444,13,38,.342,18,26,.692,105,53,92,.576,37,59,.627,16,33,.485,19,25,.760,141
765,LAC,2021-05-04,105,,TOR,W 105-100,240,39,75,.520,24,41,.585,15,34,.441,12,13,.923,105,40,87,.460,28,52,.538,12,35,.343,8,13,.615,100
766,DET,2021-04-29,105,,DAL,L 105-115,240,36,71,.507,26,42,.619,10,29,.345,23,34,.676,105,40,89,.449,27,59,.458,13,30,.433,22,23,.957,115
767,SAC,2021-04-28,105,,UTA,L 105-154,240,42,87,.483,35,66,.530,7,21,.333,14,17,.824,105,55,86,.640,31,45,.689,24,41,.585,20,21,.952,154
768,MIN,2021-04-26,105,,UTA,W 105-104,240,37,83,.446,21,39,.538,16,44,.364,15,21,.714,105,37,95,.389,21,38,.553,16,57,.281,14,19,.737,104
769,POR,2021-04-21,105,,DEN,L 105-106,240,40,87,.460,28,51,.549,12,36,.333,13,15,.867,105,39,88,.443,26,49,.531,13,39,.333,15,17,.882,106
770,MIN,2021-04-14,105,,MIL,L 105-130,240,34,92,.370,19,51,.373,15,41,.366,22,31,.710,105,46,98,.469,27,58,.466,19,40,.475,19,23,.826,130
