Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
10064,Kelly Olynyk,22,2020-01-24,28-280,MIA,,LAC,L 117-122,,22,6,11,.545,4,5,.800,2,6,.333,5,5,1.000,.720,1,8,9,2,0,0,0,2,19,17.4,11.8,6,C-F,olynyke01
10065,Kelly Olynyk,22,2020-02-05,28-292,MIA,@,LAC,L 111-128,*,22,2,6,.333,0,2,.000,2,4,.500,1,2,.500,.509,1,6,7,1,0,0,1,2,7,4.6,-6.5,-19,C-F,olynyke01
10066,Royce O'Neale,22,2019-11-12,26-160,UTA,,BRK,W 119-114,*,22,2,3,.667,0,0,,2,3,.667,2,2,1.000,1.031,0,1,1,2,1,0,2,3,8,6.2,4.8,1,F,onealro01
10067,Cedi Osman,22,2019-11-18,24-224,CLE,@,NYK,L 105-123,*,22,2,5,.400,2,3,.667,0,2,.000,1,2,.500,.425,1,7,8,2,0,0,3,4,5,1.5,-12.9,-32,F,osmande01
10068,Cedi Osman,22,2019-11-20,24-226,CLE,@,MIA,L 100-124,*,22,1,6,.167,1,4,.250,0,2,.000,1,2,.500,.218,0,1,1,1,3,0,2,1,3,0.4,-10.4,-6,F,osmande01
10069,Cedi Osman,22,2020-01-30,24-297,CLE,,TOR,L 109-115,*,22,3,8,.375,1,1,1.000,2,7,.286,0,0,,.500,0,5,5,4,1,0,1,3,8,6.7,1.3,0,F,osmande01
10070,Cedi Osman,22,2020-02-01,24-299,CLE,,GSW,L 112-131,*,22,4,7,.571,2,4,.500,2,3,.667,0,0,,.714,0,0,0,3,2,0,2,3,10,7.6,-0.6,4,F,osmande01
10071,Cedi Osman,22,2020-02-29,24-327,CLE,,IND,L 104-113,*,22,3,6,.500,2,3,.667,1,3,.333,1,2,.500,.581,0,1,1,2,0,0,0,0,8,6.3,-2.8,-4,F,osmande01
10072,Kelly Oubre Jr.,22,2019-10-26,23-321,PHO,,LAC,W 130-122,*,22,5,10,.500,4,8,.500,1,2,.500,9,9,1.000,.716,2,3,5,1,3,1,1,5,20,18.7,10.2,13,F,oubreke01
10073,Jabari Parker,22,2019-10-28,24-227,ATL,,PHI,L 103-105,,22,2,7,.286,0,4,.000,2,3,.667,0,0,,.429,1,3,4,0,0,0,2,1,6,1.1,-8.0,6,F,parkeja01
10074,Eric Paschall,22,2020-02-01,23-089,GSW,@,CLE,W 131-112,,22,5,8,.625,5,7,.714,0,1,.000,6,6,1.000,.752,0,2,2,2,0,0,1,2,16,12.6,-4.9,-7,F,pascher01
10075,Anžejs Pasečņiks,22,2019-12-21,24-001,WAS,@,PHI,L 108-125,,22,4,6,.667,4,6,.667,0,0,,3,4,.750,.709,1,1,2,1,0,0,0,4,11,8.1,-0.9,-16,C,pasecan01
10076,Anžejs Pasečņiks,22,2020-01-04,24-015,WAS,,DEN,W 128-114,,22,6,8,.750,6,8,.750,0,0,,1,2,.500,.732,3,5,8,1,0,1,1,5,13,11.4,1.9,26,C,pasecan01
10077,Patrick Patterson,22,2019-12-14,30-275,LAC,@,CHI,L 106-109,,22,3,4,.750,1,1,1.000,2,3,.667,3,6,.500,.828,2,4,6,0,0,0,0,0,11,10.8,6.2,23,F,pattepa01
10078,Patrick Patterson,22,2020-01-26,30-318,LAC,@,ORL,W 112-97,*,22,2,4,.500,0,1,.000,2,3,.667,4,4,1.000,.868,1,3,4,1,0,0,2,3,10,7.1,2.9,22,F,pattepa01
10079,Patrick Patterson,22,2020-07-30,31-138,LAC,@,LAL,L 101-103,,22,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,1.250,0,4,4,2,0,0,0,1,5,6.6,8.4,0,F,pattepa01
10080,Patrick Patterson,22,2020-08-01,31-140,LAC,,NOP,W 126-103,,22,1,6,.167,0,1,.000,1,5,.200,0,0,,.250,0,3,3,1,0,0,0,3,3,-0.4,-10.7,-10,F,pattepa01
10081,Patrick Patterson,22,2020-08-12,31-151,LAC,@,DEN,W 124-111,,22,3,4,.750,1,1,1.000,2,3,.667,0,0,,1.000,0,2,2,3,1,0,1,3,8,7.9,6.0,15,F,pattepa01
10082,Cameron Payne,22,2020-08-06,25-364,PHO,,IND,W 114-99,,22,6,9,.667,3,4,.750,3,5,.600,0,0,,.833,0,3,3,3,1,0,2,3,15,11.9,10.9,-5,G,payneca01
10083,Gary Payton II,22,2020-01-08,27-038,WAS,@,ORL,L 89-123,*,22,2,6,.333,2,5,.400,0,1,.000,0,0,,.333,2,2,4,3,3,1,4,3,4,3.2,-5.5,-27,G,paytoga02
10084,Gary Payton II,22,2020-02-01,27-062,WAS,,BRK,W 113-107,*,22,2,7,.286,2,5,.400,0,2,.000,0,1,.000,.269,2,3,5,3,3,0,0,2,4,6.1,1.1,4,G,paytoga02
