Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Julius Randle,14,2014-10-28,19-333,LAL,,HOU,L 90-108,,14,1,3,.333,1,3,.333,0,0,,0,2,.000,.258,0,0,0,0,0,0,1,1,2,-1.9,-15.1,-18,F-C,randlju01
2,Carlos Boozer,28,2014-10-28,32-342,LAL,,HOU,L 90-108,*,28,7,13,.538,7,13,.538,0,0,,3,3,1.000,.594,3,4,7,2,1,0,0,1,17,16.0,10.7,-7,F-C,boozeca01
3,Tyson Chandler,28,2014-10-28,32-026,DAL,@,SAS,L 100-101,*,28,4,8,.500,4,8,.500,0,0,,0,0,,.500,3,7,10,0,2,0,1,5,8,7.2,-3.7,-8,C,chandty01
4,Manu Ginóbili,28,2014-10-28,37-092,SAS,,DAL,W 101-100,,28,6,13,.462,4,7,.571,2,6,.333,6,7,.857,.622,0,2,2,6,2,0,3,4,20,15.1,6.0,-6,G,ginobma01
5,Ömer Aşık,34,2014-10-28,28-116,NOP,,ORL,W 101-84,*,34,7,10,.700,7,10,.700,0,0,,0,3,.000,.618,7,10,17,2,0,5,3,4,14,16.8,4.3,11,C,asikom01
6,Aaron Gordon,28,2014-10-28,19-042,ORL,@,NOP,L 84-101,,28,5,8,.625,4,6,.667,1,2,.500,0,0,,.688,2,1,3,0,1,1,3,3,11,6.6,-1.2,-18,F,gordoaa01
7,Jordan Clarkson,20,2014-10-28,22-143,LAL,,HOU,L 90-108,,20,1,4,.250,0,2,.000,1,2,.500,5,6,.833,.602,0,4,4,2,0,0,1,3,8,5.6,-1.6,-4,G,clarkjo01
8,Kobe Bryant,29,2014-10-28,36-066,LAL,,HOU,L 90-108,*,29,6,17,.353,6,16,.375,0,1,.000,7,8,.875,.463,0,3,3,2,1,0,1,5,19,9.4,-0.4,-11,G-F,bryanko01
9,Devin Harris,29,2014-10-28,31-243,DAL,@,SAS,L 100-101,,29,6,12,.500,4,7,.571,2,5,.400,3,4,.750,.618,0,0,0,5,2,0,1,1,17,14.7,9.4,-2,G,harride01
10,Matt Bonner,15,2014-10-28,34-206,SAS,,DAL,W 101-100,*,15,0,2,.000,0,1,.000,0,1,.000,0,0,,.000,0,2,2,0,0,0,0,3,0,-2.0,-13.8,6,F,bonnema01
11,Troy Daniels,9,2014-10-28,23-105,HOU,@,LAL,W 108-90,,9,0,5,.000,0,0,,0,5,.000,2,2,1.000,.170,0,0,0,0,0,0,0,2,2,-2.3,-29.3,-7,G,danietr01
12,Jeremy Lin,29,2014-10-28,26-066,LAL,,HOU,L 90-108,*,29,1,5,.200,1,4,.250,0,1,.000,5,6,.833,.458,1,1,2,6,0,0,4,3,7,3.5,-8.7,-17,G,linje01
13,Trevor Ariza,30,2014-10-28,29-120,HOU,@,LAL,W 108-90,*,30,5,10,.500,0,2,.000,5,8,.625,1,1,1.000,.766,1,2,3,2,2,0,2,3,16,12.5,10.0,10,F,arizatr01
14,Greg Smith,2,2014-10-28,23-293,DAL,@,SAS,L 100-101,,2,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,1,0,-0.4,-14.1,1,C,smithgr02
15,Tim Duncan,30,2014-10-28,38-186,SAS,,DAL,W 101-100,*,30,5,10,.500,5,10,.500,0,0,,4,5,.800,.574,5,8,13,2,1,2,5,0,14,13.3,0.0,-2,F-C,duncati01
16,Boris Diaw,33,2014-10-28,32-195,SAS,,DAL,W 101-100,,33,2,6,.333,1,3,.333,1,3,.333,0,0,,.417,1,8,9,6,0,0,4,2,5,4.1,-3.2,-5,F-C,diawbo01
17,John Salmons,10,2014-10-28,34-320,NOP,,ORL,W 101-84,,10,0,0,,0,0,,0,0,,0,0,,,1,1,2,1,0,0,0,3,0,0.5,-7.6,10,G-F,salmojo01
18,Kostas Papanikolaou,20,2014-10-28,24-089,HOU,@,LAL,W 108-90,,20,2,6,.333,2,4,.500,0,2,.000,0,0,,.333,1,5,6,4,2,0,2,5,4,3.6,-1.8,11,F,papanko01
19,Ryan Anderson,22,2014-10-28,26-175,NOP,,ORL,W 101-84,,22,9,22,.409,6,16,.375,3,6,.500,1,3,.333,.472,7,2,9,0,0,0,0,2,22,14.1,7.9,18,F,anderry01
20,Austin Rivers,20,2014-10-28,22-088,NOP,,ORL,W 101-84,,20,2,5,.400,2,3,.667,0,2,.000,3,6,.500,.458,0,1,1,3,1,0,0,1,7,6.1,0.7,6,G,riverau01
21,Jameer Nelson,30,2014-10-28,32-261,DAL,@,SAS,L 100-101,*,30,3,7,.429,0,2,.000,3,5,.600,0,0,,.643,0,0,0,3,1,1,0,1,9,8.7,6.1,3,G,nelsoja01
22,Ed Davis,22,2014-10-28,25-145,LAL,,HOU,L 90-108,,22,5,7,.714,5,7,.714,0,0,,1,2,.500,.698,2,4,6,0,1,2,0,6,11,10.3,6.4,-16,F,davised01
23,Ronnie Price,27,2014-10-28,31-129,LAL,,HOU,L 90-108,,27,1,7,.143,0,4,.000,1,3,.333,4,4,1.000,.400,0,1,1,3,2,0,2,3,7,3.7,-4.1,-11,G,pricero01
24,Danny Green,34,2014-10-28,27-128,SAS,,DAL,W 101-100,*,34,5,9,.556,2,3,.667,3,6,.500,0,0,,.722,2,2,4,1,1,0,3,4,13,7.8,-0.4,-4,G-F,greenda02
25,Donatas Motiejūnas,16,2014-10-28,24-038,HOU,@,LAL,W 108-90,,16,0,0,,0,0,,0,0,,4,6,.667,.758,2,3,5,0,0,0,2,3,4,2.3,-7.9,-10,F-C,motiedo01
26,Brandan Wright,18,2014-10-28,27-023,DAL,@,SAS,L 100-101,,18,2,2,1.000,2,2,1.000,0,0,,2,2,1.000,1.042,1,4,5,0,0,1,0,2,6,7.2,4.4,6,F-C,wrighbr03
27,Willie Green,4,2014-10-28,33-092,ORL,@,NOP,L 84-101,,4,0,1,.000,0,1,.000,0,0,,0,0,,.000,1,1,2,0,0,0,0,0,0,0.3,-7.8,-3,G,greenwi01
28,Tony Parker,35,2014-10-28,32-164,SAS,,DAL,W 101-100,*,35,9,15,.600,5,11,.455,4,4,1.000,1,2,.500,.724,1,2,3,3,0,0,1,2,23,17.3,6.3,-6,G,parketo01
29,Xavier Henry,18,2014-10-28,23-227,LAL,,HOU,L 90-108,,18,0,4,.000,0,4,.000,0,0,,3,4,.750,.260,1,0,1,0,1,0,0,1,3,1.1,-6.6,-6,G,henryxa01
30,Isaiah Canaan,7,2014-10-28,23-160,HOU,@,LAL,W 108-90,,7,0,1,.000,0,0,,0,1,.000,2,2,1.000,.532,0,1,1,0,0,0,1,0,2,0.6,-11.2,-8,G,canaais01
31,Tarik Black,24,2014-10-28,22-340,HOU,@,LAL,W 108-90,,24,1,2,.500,1,2,.500,0,0,,0,0,,.500,0,2,2,0,0,0,0,4,2,0.0,-6.9,4,C-F,blackta01
32,Jimmer Fredette,18,2014-10-28,25-245,NOP,,ORL,W 101-84,,18,0,6,.000,0,3,.000,0,3,.000,2,2,1.000,.145,0,0,0,2,1,0,0,3,2,-1.0,-13.6,3,G,fredeji01
33,Aron Baynes,18,2014-10-28,27-323,SAS,,DAL,W 101-100,,18,2,3,.667,2,3,.667,0,0,,0,0,,.667,0,2,2,0,0,1,2,3,4,0.8,-8.4,3,C,baynear01
34,Tyreke Evans,35,2014-10-28,25-039,NOP,,ORL,W 101-84,*,35,5,15,.333,5,14,.357,0,1,.000,2,5,.400,.349,2,7,9,6,0,0,0,0,12,10.0,-2.3,10,G-F,evansty01
35,Robert Sacre,7,2014-10-28,25-144,LAL,,HOU,L 90-108,,7,1,5,.200,1,5,.200,0,0,,0,0,,.200,0,0,0,0,1,0,0,1,2,-0.5,-13.8,8,C,sacrero01
36,Luke Ridnour,17,2014-10-28,33-257,ORL,@,NOP,L 84-101,,17,0,3,.000,0,3,.000,0,0,,2,2,1.000,.258,0,2,2,1,0,0,2,2,2,-1.6,-15.9,-18,G,ridnolu01
37,Cory Joseph,17,2014-10-28,23-069,SAS,,DAL,W 101-100,,17,3,4,.750,2,2,1.000,1,2,.500,0,0,,.875,0,1,1,2,0,0,0,1,7,6.7,7.6,6,G,josepco01
38,Dewayne Dedmon,8,2014-10-28,25-077,ORL,@,NOP,L 84-101,,8,1,2,.500,1,2,.500,0,0,,1,2,.500,.521,2,1,3,0,0,1,1,1,3,2.6,-2.9,-1,C,dedmode01
39,Alexis Ajinça,2,2014-10-28,26-175,NOP,,ORL,W 101-84,,2,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,0,0,0,0,0,1,0,2,0.7,-7.4,-6,C-F,ajincal01
40,Anthony Davis,36,2014-10-28,21-231,NOP,,ORL,W 101-84,*,36,10,22,.455,10,22,.455,0,0,,6,9,.667,.501,9,8,17,2,3,9,0,1,26,32.4,20.5,19,F-C,davisan02
41,Wesley Johnson,23,2014-10-28,27-109,LAL,,HOU,L 90-108,*,23,3,7,.429,2,4,.500,1,3,.333,0,0,,.500,0,2,2,0,0,0,0,5,7,1.9,-6.6,-2,F-G,johnswe01
42,Chandler Parsons,34,2014-10-28,26-003,DAL,@,SAS,L 100-101,*,34,2,10,.200,1,6,.167,1,4,.250,0,0,,.250,0,4,4,0,2,1,1,2,5,0.9,-8.7,0,F,parsoch01
43,Luke Babbitt,2,2014-10-28,25-130,NOP,,ORL,W 101-84,,2,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-10.0,-6,F,babbilu01
44,Jordan Hill,23,2014-10-28,27-093,LAL,,HOU,L 90-108,*,23,2,7,.286,2,7,.286,0,0,,3,4,.750,.400,4,6,10,1,0,1,2,3,7,5.3,-5.3,-6,C-F,hilljo01
45,Ben Gordon,23,2014-10-28,31-207,ORL,@,NOP,L 84-101,,23,1,8,.125,1,6,.167,0,2,.000,3,4,.750,.256,0,4,4,1,0,0,0,3,5,0.1,-11.6,-15,G,gordobe01
46,Jrue Holiday,27,2014-10-28,24-138,NOP,,ORL,W 101-84,*,27,4,11,.364,4,8,.500,0,3,.000,0,0,,.364,0,2,2,4,3,1,2,2,8,6.2,-1.4,9,G,holidjr01
47,Jeff Withey,2,2014-10-28,24-235,NOP,,ORL,W 101-84,,2,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,1,1,0,0,0,0,0,0,-0.4,-18.9,-6,C,witheje01
48,Jason Terry,21,2014-10-28,37-043,HOU,@,LAL,W 108-90,,21,3,5,.600,1,2,.500,2,3,.667,0,0,,.800,0,0,0,1,0,0,1,0,8,5.4,1.7,27,G,terryja01
49,Nikola Vučević,35,2014-10-28,24-004,ORL,@,NOP,L 84-101,*,35,7,15,.467,7,15,.467,0,0,,1,2,.500,.472,5,18,23,1,1,4,1,2,15,18.5,7.1,-3,C,vucevni01
50,Elfrid Payton,31,2014-10-28,20-248,ORL,@,NOP,L 84-101,*,31,2,8,.250,2,8,.250,0,0,,0,0,,.250,3,2,5,7,1,0,2,5,4,3.8,-5.8,1,G,paytoel01
51,Marco Belinelli,31,2014-10-28,28-217,SAS,,DAL,W 101-100,*,31,5,8,.625,2,2,1.000,3,6,.500,2,2,1.000,.845,0,2,2,3,1,0,2,1,15,12.7,8.2,13,G-F,belinma01
52,Kyle O'Quinn,21,2014-10-28,24-216,ORL,@,NOP,L 84-101,*,21,2,8,.250,2,7,.286,0,1,.000,0,0,,.250,0,2,2,5,1,3,1,4,4,3.8,3.3,-15,F-C,oquinky01
53,Monta Ellis,37,2014-10-28,29-002,DAL,@,SAS,L 100-101,*,37,11,21,.524,10,19,.526,1,2,.500,3,4,.750,.571,1,3,4,6,1,0,3,0,26,19.1,4.0,4,G,ellismo01
54,Dwight Howard,21,2014-10-28,28-324,HOU,@,LAL,W 108-90,*,21,3,5,.600,3,5,.600,0,0,,7,16,.438,.540,3,8,11,1,0,1,1,5,13,10.0,0.5,20,C,howardw01
55,James Harden,31,2014-10-28,25-063,HOU,@,LAL,W 108-90,*,31,7,17,.412,4,11,.364,3,6,.500,15,16,.938,.666,0,1,1,6,1,0,0,1,32,27.6,20.5,12,G,hardeja01
