Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Kyle Anderson,0,2016-11-23,23-064,SAS,@,CHO,W 119-114,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.4,0,F-G,anderky01
2,Kyle Anderson,0,2016-12-08,23-079,SAS,@,CHI,L 91-95,,0,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,0,0,0,0.3,32.1,3,F-G,anderky01
3,Joel Anthony,0,2017-03-04,34-207,SAS,,MIN,W 97-90 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.2,0,C,anthojo01
4,Ron Baker,0,2017-01-12,23-288,NYK,,CHI,W 104-89,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.5,-2,G,bakerro01
5,Malik Beasley,0,2017-02-08,20-074,DEN,@,ATL,L 106-117,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-11.6,0,G,beaslma01
6,DeAndre' Bembry,0,2017-04-06,22-276,ATL,,BOS,W 123-116,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-4.6,-3,F,bembrde01
7,DeAndre' Bembry,0,2017-04-09,22-279,ATL,,CLE,W 126-125 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.0,0,F,bembrde01
8,Dāvis Bertāns,0,2016-11-14,24-002,SAS,,MIA,W 94-90,,0,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.7,-274.0,0,F,bertada01
9,Dāvis Bertāns,0,2017-02-13,24-093,SAS,@,IND,W 110-106,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.0,0,F,bertada01
10,Nicolás Brussino,0,2016-11-16,23-259,DAL,@,BOS,L 83-90,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.8,2,G-F,brussni01
11,Nicolás Brussino,0,2016-11-30,23-273,DAL,,SAS,L 87-94,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.5,0,G-F,brussni01
12,Nicolás Brussino,0,2016-12-26,23-299,DAL,@,NOP,L 104-111,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.3,2,G-F,brussni01
13,Nicolás Brussino,0,2017-03-23,24-021,DAL,,LAC,W 97-95,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.7,0,G-F,brussni01
14,Bruno Caboclo,0,2017-01-15,21-116,TOR,,NYK,W 116-101,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.7,0,F-C,cabocbr01
15,Isaiah Canaan,0,2017-02-14,25-269,CHI,,TOR,W 105-94,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-3.6,0,G,canaais01
16,Rakeem Christmas,0,2017-04-10,25-130,IND,@,PHI,W 120-111,,0,0,0,,0,0,,0,0,,1,2,.500,.568,0,0,0,0,0,0,0,0,1,0.6,-6.5,1,F,chrisra01
17,Rakeem Christmas,0,2017-04-04,25-124,IND,,TOR,W 108-90,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-3.6,,F,chrisra01
