Rk,Player,MP,Season,Lg,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Player-additional
1,Justin Jackson,0,2023-24,NBA,MIN,2,0,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.5,0,jacksju01
2,Javonte Smart,1,2023-24,NBA,PHI,1,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.3,-3,smartja01
3,Dmytro Skapintsev,2,2023-24,NBA,NYK,2,0,2,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.4,-25.9,0,skapidm01
4,Izaiah Brockington,3,2023-24,NBA,NOP,1,0,3,2,5,.400,2,4,.500,0,1,.000,0,0,,.400,1,1,2,0,0,0,0,0,4,2.3,-17.8,3,brockiz01
5,Malcolm Cazalon,3,2023-24,NBA,DET,1,0,3,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.1,5,cazalma01
6,Jalen Crutcher,3,2023-24,NBA,NOP,1,0,3,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.7,-26.2,1,crutcja01
7,Ron Harper Jr.,4,2023-24,NBA,TOR,1,0,4,0,0,,0,0,,0,0,,0,0,,,0,0,0,1,0,0,0,2,0,-0.1,-8.8,-9,harpero02
8,Markquis Nowell,4,2023-24,NBA,TOR,1,0,4,0,1,.000,0,1,.000,0,0,,2,2,1.000,.532,2,0,2,2,1,0,0,0,2,5.1,43.3,4,nowelma01
9,Isaiah Wong,4,2023-24,NBA,IND,1,0,4,1,3,.333,1,2,.500,0,1,.000,0,0,,.333,0,0,0,0,0,0,0,0,2,0.3,-19.0,-5,wongis01
10,Hamidou Diallo,5,2023-24,NBA,WAS,2,0,5,1,2,.500,1,2,.500,0,0,,0,0,,.500,2,0,2,1,2,0,1,1,2,1.9,18.7,4,diallha01
11,Kevon Harris,6,2023-24,NBA,ORL,2,0,6,2,3,.667,2,3,.667,0,0,,0,0,,.667,0,2,2,1,0,0,1,3,4,0.9,-15.8,0,harrike01
12,Shaquille Harrison,6,2023-24,NBA,MEM,3,0,6,1,2,.500,1,2,.500,0,0,,0,0,,.500,0,2,2,0,0,1,0,0,2,0.8,4.6,-11,harrish01
13,Kaiser Gates,7,2023-24,NBA,NOP,1,0,7,0,4,.000,0,2,.000,0,2,.000,0,0,,.000,0,1,1,0,0,0,0,0,0,-2.5,-28.8,-2,gateska01
14,Lindell Wigginton,7,2023-24,NBA,MIL,3,0,7,2,5,.400,2,3,.667,0,2,.000,2,2,1.000,.510,0,0,0,0,0,0,1,1,6,0.6,-23.9,-10,wiggili01
15,Filip Petrušev,9,2023-24,NBA,PHISAC,3,0,9,1,2,.500,1,2,.500,0,0,,1,2,.500,.521,0,1,1,0,0,0,0,1,3,0.5,-8.0,6,petrufi01
16,Joshua Primo,10,2023-24,NBA,LAC,2,0,10,1,3,.333,1,2,.500,0,1,.000,0,0,,.333,1,0,1,0,0,1,4,0,2,-1.2,-25.0,-1,primojo01
17,Quenton Jackson,11,2023-24,NBA,IND,3,0,11,0,1,.000,0,1,.000,0,0,,2,2,1.000,.532,0,4,4,2,1,0,0,1,2,1.5,3.3,0,jacksqu01
18,Andrew Funk,12,2023-24,NBA,CHI,5,0,12,0,4,.000,0,1,.000,0,3,.000,0,0,,.000,0,0,0,0,1,1,0,0,0,-0.2,-14.4,4,funkan01
19,Adam Flagler,15,2023-24,NBA,OKC,2,0,15,1,7,.143,0,1,.000,1,6,.167,0,0,,.214,0,0,0,4,0,0,0,0,3,0.7,-10.6,0,flaglad01
20,Ty Jerome,15,2023-24,NBA,CLE,2,0,15,2,4,.500,2,3,.667,0,1,.000,0,0,,.500,1,0,1,3,0,0,1,2,4,1.5,-4.9,-14,jeromty01
21,Alondes Williams,16,2023-24,NBA,MIA,7,0,16,2,8,.250,2,4,.500,0,4,.000,1,1,1.000,.296,0,1,1,0,0,1,2,2,5,-0.2,-23.2,-20,willial06
22,D.J. Wilson,16,2023-24,NBA,PHI,2,0,16,4,6,.667,2,4,.500,2,2,1.000,0,0,,.833,1,1,2,2,0,2,0,1,10,5.4,22.4,2,wilsodj01
