Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
32,MIN,2023-10-28,106,,MIA,W 106-90,240,44,86,0.512,32,52,0.615,12,34,0.353,6,8,0.75,106,35,87,0.402,23,49,0.469,12,38,0.316,8,14,0.571,90
33,PHO,2023-10-28,126,,UTA,W 126-104,240,45,85,0.529,35,48,0.729,10,37,0.27,26,28,0.929,126,40,91,0.44,28,54,0.519,12,37,0.324,12,14,0.857,104
34,TOR,2023-10-28,107,,PHI,L 107-114,240,38,87,0.437,21,55,0.382,17,32,0.531,14,19,0.737,107,43,86,0.5,33,58,0.569,10,28,0.357,18,21,0.857,114
35,SAC,2023-10-29,132,,LAL,W 132-127 (OT),265,49,104,0.471,32,56,0.571,17,48,0.354,17,24,0.708,132,43,98,0.439,28,53,0.528,15,45,0.333,26,34,0.765,127
36,LAC,2023-10-29,123,,SAS,W 123-83,240,47,91,0.516,31,49,0.633,16,42,0.381,13,21,0.619,123,30,80,0.375,19,47,0.404,11,33,0.333,12,16,0.75,83
37,MIL,2023-10-29,110,,ATL,L 110-127,240,39,86,0.453,23,42,0.548,16,44,0.364,16,20,0.8,110,47,93,0.505,32,56,0.571,15,37,0.405,18,22,0.818,127
38,HOU,2023-10-29,95,,GSW,L 95-106,240,34,90,0.378,25,57,0.439,9,33,0.273,18,19,0.947,95,35,81,0.432,17,36,0.472,18,45,0.4,18,23,0.783,106
39,PHI,2023-10-29,126,,POR,W 126-98,240,40,82,0.488,29,54,0.537,11,28,0.393,35,40,0.875,126,36,94,0.383,29,63,0.46,7,31,0.226,19,22,0.864,98
40,OKC,2023-10-29,95,,DEN,L 95-128,240,37,90,0.411,31,58,0.534,6,32,0.188,15,18,0.833,95,53,88,0.602,42,61,0.689,11,27,0.407,11,13,0.846,128
41,MIL,2023-10-30,122,,MIA,W 122-114,240,44,87,0.506,32,50,0.64,12,37,0.324,22,30,0.733,122,41,86,0.477,28,52,0.538,13,34,0.382,19,20,0.95,114
42,IND,2023-10-30,105,,CHI,L 105-112,240,36,88,0.409,24,42,0.571,12,46,0.261,21,25,0.84,105,40,87,0.46,34,70,0.486,6,17,0.353,26,31,0.839,112
43,WAS,2023-10-30,107,,BOS,L 107-126,240,39,87,0.448,28,51,0.549,11,36,0.306,18,26,0.692,107,51,102,0.5,32,49,0.653,19,53,0.358,5,7,0.714,126
44,TOR,2023-10-30,91,,POR,L 91-99,240,38,94,0.404,34,65,0.523,4,29,0.138,11,15,0.733,91,38,85,0.447,27,50,0.54,11,35,0.314,12,15,0.8,99
45,DEN,2023-10-30,110,,UTA,W 110-102,240,47,84,0.56,38,56,0.679,9,28,0.321,7,17,0.412,110,42,98,0.429,31,61,0.508,11,37,0.297,7,15,0.467,102
46,CHO,2023-10-30,121,,BRK,L 121-133,240,47,96,0.49,39,65,0.6,8,31,0.258,19,20,0.95,121,49,87,0.563,37,54,0.685,12,33,0.364,23,32,0.719,133
