Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Ty-Shon Alexander,0,2021-04-28,22-286,PHO,,LAC,W 109-101,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.7,-3,G,alexaty01
2,Thanasis Antetokounmpo,0,2021-02-16,28-213,MIL,,TOR,L 113-124,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.1,0,F,antetth01
3,Thanasis Antetokounmpo,0,2021-05-04,28-290,MIL,,BRK,W 124-118,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.5,-1,F,antetth01
4,Goga Bitadze,0,2021-01-22,21-186,IND,,ORL,W 120-118 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.3,-3,C,bitadgo01
5,Bismack Biyombo,0,2021-05-15,28-260,CHO,@,NYK,L 109-118 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.4,0,C-F,biyombi01
6,Marques Bolden,0,2020-12-23,22-250,CLE,,CHO,W 121-114,,0,0,0,,0,0,,0,0,,0,2,.000,.000,0,0,0,0,0,0,0,0,0,-0.8,-1000.0,0,C,boldema01
7,Isaac Bonga,0,2021-01-31,21-084,WAS,,BRK,W 149-146,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.4,2,G,bongais01
8,Isaac Bonga,0,2021-01-09,21-062,WAS,,MIA,L 124-128,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.7,0,G,bongais01
9,Amir Coffey,0,2021-04-01,23-288,LAC,,DEN,L 94-101,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.0,2,G,coffeam01
10,Amir Coffey,0,2021-04-20,23-307,LAC,@,POR,W 113-112,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.0,-2,G,coffeam01
