Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Álex Abrines,0,2018-03-06,24-217,OKC,,HOU,L 112-122,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.2,0,G-F,abrinal01
2,Kadeem Allen,0,2018-03-25,25-069,BOS,@,SAC,W 104-93,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.9,-2,G,allenka01
3,Kadeem Allen,0,2018-03-11,25-055,BOS,,IND,L 97-99,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.3,-2,G,allenka01
4,Kadeem Allen,0,2018-03-26,25-070,BOS,@,PHO,W 102-94,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.9,-1,G,allenka01
5,Kadeem Allen,0,2018-02-04,25-020,BOS,,POR,W 97-96,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.9,0,G,allenka01
6,Kadeem Allen,0,2018-04-08,25-083,BOS,,ATL,L 106-112,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-11.6,-2,G,allenka01
7,Kadeem Allen,0,2018-04-06,25-081,BOS,,CHI,W 111-104,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,1,0,-0.4,-51.8,-1,G,allenka01
8,Kadeem Allen,0,2017-12-21,24-340,BOS,@,NYK,L 93-102,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.9,0,G,allenka01
9,Darrell Arthur,0,2018-03-13,29-353,DEN,@,LAL,L 103-112,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.8,-2,F,arthuda01
10,Darrell Arthur,0,2018-03-02,29-342,DEN,@,MEM,W 108-102,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.8,0,F,arthuda01
