Rk,Player,MP,Season,Lg,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Player-additional
1,Chris Boucher,1,2017-18,NBA,GSW,1,0,1,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,1,1,0,0,0,0,0,0,-0.4,-33.1,-2,bouchch01
2,Trey McKinney-Jones,1,2017-18,NBA,IND,1,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.5,0,mckintr01
3,Naz Mitrou-Long,1,2017-18,NBA,UTA,1,0,1,1,1,1.000,0,0,,1,1,1.000,0,0,,1.500,0,0,0,0,0,0,0,0,3,2.7,242.2,5,mitrona01
4,Mindaugas Kuzminskas,2,2017-18,NBA,NYK,1,0,2,0,2,.000,0,2,.000,0,0,,0,0,,.000,0,0,0,0,0,0,0,0,0,-1.4,-54.7,0,kuzmimi01
5,Tyler Lydon,2,2017-18,NBA,DEN,1,0,2,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.4,-6,lydonty01
6,Edmond Sumner,2,2017-18,NBA,IND,1,0,2,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,1,1,0,0,0,0,1,2,1.6,6.9,-6,sumneed01
7,PJ Dozier,3,2017-18,NBA,OKC,2,0,3,1,2,.500,1,2,.500,0,0,,0,0,,.500,0,1,1,0,0,0,1,1,2,-0.1,-20.4,-3,doziepj01
8,Anthony Brown,4,2017-18,NBA,MIN,1,0,4,1,1,1.000,0,0,,1,1,1.000,0,0,,1.500,0,0,0,1,0,0,0,0,3,3.4,30.5,3,brownan02
9,Justin Patton,4,2017-18,NBA,MIN,1,0,4,1,2,.500,1,2,.500,0,0,,0,0,,.500,0,0,0,0,1,0,0,1,2,1.6,3.2,3,pattoju01
10,Jeremy Evans,5,2017-18,NBA,ATL,1,0,5,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,1,0,1,0,0,0,1,1,2,1.0,-9.9,-4,evansje01
