Rk,Player,MP,Season,Lg,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Player-additional
443,Kyshawn George,1802,2024-25,NBA,WAS,68,38,1802,203,546,.372,89,192,.464,114,354,.322,70,93,.753,.503,49,236,285,169,68,50,97,201,590,6.3,-4.1,-361,georgky01
444,Alex Sarr,1816,2024-25,NBA,WAS,67,67,1816,326,828,.394,221,487,.454,105,341,.308,112,165,.679,.482,124,311,435,161,44,101,114,146,869,9.5,-3.3,-547,sarral01
445,Haywood Highsmith,1818,2024-25,NBA,MIA,74,42,1818,179,391,.458,90,158,.570,89,233,.382,31,43,.721,.583,72,180,252,112,68,37,54,164,478,5.8,-1.9,61,highsha01
446,Dorian Finney-Smith,1819,2024-25,NBA,BRKLAL,63,40,1819,195,435,.448,66,121,.545,129,314,.411,30,45,.667,.604,80,167,247,90,58,23,56,136,549,7.1,-1.0,309,finnedo01
447,Keldon Johnson,1831,2024-25,NBA,SAS,77,0,1831,371,770,.482,284,496,.573,87,274,.318,150,194,.773,.572,112,259,371,125,49,22,77,115,979,9.8,-1.6,-217,johnske04
448,P.J. Washington,1833,2024-25,NBA,DAL,57,56,1833,301,665,.453,210,426,.493,91,239,.381,143,198,.722,.556,82,360,442,131,63,60,118,131,836,11.6,-0.9,49,washipj01
449,CJ McCollum,1834,2024-25,NBA,NOP,56,56,1834,444,1000,.444,273,541,.505,171,459,.373,124,173,.717,.550,42,170,212,227,46,24,106,124,1183,14.1,-1.4,-279,mccolcj01
450,Isaiah Collier,1838,2024-25,NBA,UTA,71,46,1838,234,555,.422,192,386,.497,42,169,.249,105,154,.682,.494,32,203,235,446,66,16,208,149,615,7.1,-5.3,-403,colliis01
451,Andrew Wiggins,1841,2024-25,NBA,GSWMIA,60,60,1841,376,839,.448,246,491,.501,130,348,.374,196,257,.763,.566,89,180,269,158,60,50,99,101,1078,13.3,0.9,-100,wiggian01
452,Royce O'Neale,1842,2024-25,NBA,PHO,75,22,1842,241,570,.423,62,129,.481,179,441,.406,19,26,.731,.585,53,296,349,163,67,34,65,151,680,7.7,0.1,-155,onealro01
453,Zaccharie Risacher,1844,2024-25,NBA,ATL,75,73,1844,357,779,.458,235,435,.540,122,344,.355,106,149,.711,.558,86,182,268,92,52,37,92,149,942,8.4,-3.5,-121,risacza01
454,Trey Murphy III,1856,2024-25,NBA,NOP,53,51,1856,381,839,.454,223,401,.556,158,438,.361,204,230,.887,.598,47,221,268,188,56,39,103,112,1124,15.9,0.8,-384,murphtr02
455,Rui Hachimura,1866,2024-25,NBA,LAL,59,57,1866,293,576,.509,191,329,.581,102,247,.413,87,113,.770,.619,79,216,295,83,45,26,49,105,775,10.7,-0.7,158,hachiru01
456,Buddy Hield,1867,2024-25,NBA,GSW,82,22,1867,328,786,.417,125,237,.527,203,549,.370,53,64,.828,.560,51,213,264,134,69,23,91,132,912,7.6,-1.0,141,hieldbu01
457,RJ Barrett,1868,2024-25,NBA,TOR,58,58,1868,460,982,.468,353,676,.522,107,306,.350,196,311,.630,.547,61,305,366,314,46,17,165,137,1223,14.9,0.6,-139,barrerj01
458,Derrick Jones Jr.,1874,2024-25,NBA,LAC,77,55,1874,310,589,.526,232,370,.627,78,219,.356,83,118,.703,.609,93,170,263,60,79,33,66,153,781,7.9,-0.3,249,jonesde02
459,Cason Wallace,1877,2024-25,NBA,OKC,68,43,1877,232,489,.474,158,281,.562,74,208,.356,30,37,.811,.562,71,158,229,173,120,35,59,145,568,8.3,1.0,369,wallaca01
