Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1128,CLE,2022-03-26,94,,CHI,L 94-98,240,34,82,.415,27,51,.529,7,31,.226,19,27,.704,94,36,75,.480,31,54,.574,5,21,.238,21,25,.840,98
1129,ORL,2022-03-22,94,,GSW,W 94-90,240,34,79,.430,24,43,.558,10,36,.278,16,20,.800,94,34,85,.400,23,53,.434,11,32,.344,11,16,.688,90
1130,GSW,2022-01-23,94,,UTA,W 94-92,240,36,83,.434,23,41,.561,13,42,.310,9,10,.900,94,31,81,.383,20,46,.435,11,35,.314,19,23,.826,92
1131,CLE,2022-01-22,94,,OKC,W 94-87,240,35,76,.461,29,49,.592,6,27,.222,18,35,.514,94,33,85,.388,21,44,.477,12,41,.293,9,16,.563,87
1132,MIL,2022-01-21,94,,CHI,W 94-90,240,34,88,.386,28,57,.491,6,31,.194,20,28,.714,94,31,85,.365,24,47,.511,7,38,.184,21,24,.875,90
1133,IND,2022-01-14,94,,PHO,L 94-112,240,34,88,.386,21,45,.467,13,43,.302,13,18,.722,94,40,88,.455,29,60,.483,11,28,.393,21,23,.913,112
1134,SAC,2021-11-22,94,,PHI,L 94-102,240,33,80,.413,26,49,.531,7,31,.226,21,29,.724,94,36,85,.424,27,53,.509,9,32,.281,21,27,.778,102
1135,NOP,2021-11-19,94,,LAC,W 94-81,240,38,87,.437,25,57,.439,13,30,.433,5,8,.625,94,34,90,.378,25,53,.472,9,37,.243,4,5,.800,81
1136,MEM,2021-11-12,94,,PHO,L 94-119,240,37,98,.378,30,65,.462,7,33,.212,13,23,.565,94,46,94,.489,28,57,.491,18,37,.486,9,9,1.000,119
1137,CLE,2021-11-10,94,,WAS,L 94-97,240,35,76,.461,26,45,.578,9,31,.290,15,21,.714,94,35,84,.417,25,56,.446,10,28,.357,17,17,1.000,97
1138,IND,2021-10-30,94,,TOR,L 94-97,240,35,81,.432,22,38,.579,13,43,.302,11,16,.688,94,39,92,.424,28,60,.467,11,32,.344,8,12,.667,97
1139,NYK,2022-03-20,93,,UTA,L 93-108,240,31,83,.373,15,43,.349,16,40,.400,15,21,.714,93,34,74,.459,17,28,.607,17,46,.370,23,29,.793,108
1140,LAC,2022-03-06,93,,NYK,L 93-116,240,33,88,.375,22,54,.407,11,34,.324,16,22,.727,93,42,89,.472,29,60,.483,13,29,.448,19,30,.633,116
1141,POR,2022-02-04,93,,OKC,L 93-96,240,40,101,.396,34,68,.500,6,33,.182,7,10,.700,93,33,87,.379,18,45,.400,15,42,.357,15,21,.714,96
1142,DET,2022-02-04,93,,BOS,L 93-102,240,34,104,.327,24,78,.308,10,26,.385,15,20,.750,93,37,82,.451,28,54,.519,9,28,.321,19,25,.760,102
1143,CLE,2022-01-31,93,,NOP,W 93-90,240,36,84,.429,27,53,.509,9,31,.290,12,14,.857,93,33,85,.388,27,55,.491,6,30,.200,18,21,.857,90
1144,MIA,2021-12-26,93,,ORL,W 93-83,240,36,89,.404,26,55,.473,10,34,.294,11,18,.611,93,31,72,.431,21,40,.525,10,32,.313,11,17,.647,83
1145,BRK,2021-12-18,93,,ORL,L 93-100,240,39,102,.382,30,56,.536,9,46,.196,6,8,.750,93,39,94,.415,29,63,.460,10,31,.323,12,13,.923,100
1146,MIL,2021-10-30,93,,SAS,L 93-102,240,36,89,.404,26,50,.520,10,39,.256,11,16,.688,93,39,95,.411,32,64,.500,7,31,.226,17,24,.708,102
1147,BRK,2021-10-27,93,,MIA,L 93-106,240,33,85,.388,19,42,.452,14,43,.326,13,14,.929,93,38,96,.396,30,67,.448,8,29,.276,22,26,.846,106
1148,WAS,2022-04-08,92,,NYK,L 92-114,240,35,69,.507,26,41,.634,9,28,.321,13,17,.765,92,41,88,.466,25,49,.510,16,39,.410,16,20,.800,114
1149,BOS,2022-03-13,92,,DAL,L 92-95,240,33,88,.375,24,51,.471,9,37,.243,17,19,.895,92,33,74,.446,18,37,.486,15,37,.405,14,19,.737,95
1150,POR,2022-02-27,92,,DEN,L 92-124,240,34,91,.374,28,55,.509,6,36,.167,18,26,.692,92,44,86,.512,32,49,.653,12,37,.324,24,31,.774,124
1151,CLE,2022-02-26,92,,WAS,W 92-86,240,32,83,.386,24,58,.414,8,25,.320,20,24,.833,92,35,81,.432,24,58,.414,11,23,.478,5,6,.833,86
1152,LAC,2021-12-20,92,,SAS,L 92-116,240,34,87,.391,25,55,.455,9,32,.281,15,20,.750,92,50,114,.439,38,77,.494,12,37,.324,4,6,.667,116
1153,SAC,2021-11-30,92,,LAL,L 92-117,240,35,79,.443,29,50,.580,6,29,.207,16,22,.727,92,46,92,.500,35,64,.547,11,28,.393,14,20,.700,117
1154,DET,2021-11-23,92,,MIA,L 92-100,240,35,84,.417,25,46,.543,10,38,.263,12,14,.857,92,35,76,.461,26,47,.553,9,29,.310,21,29,.724,100
1155,NYK,2021-11-15,92,,IND,W 92-84,240,37,86,.430,26,52,.500,11,34,.324,7,10,.700,92,32,86,.372,24,49,.490,8,37,.216,12,16,.750,84
1156,CLE,2021-11-15,92,,BOS,L 92-98,240,32,83,.386,16,43,.372,16,40,.400,12,16,.750,92,36,78,.462,26,49,.531,10,29,.345,16,20,.800,98
1157,ORL,2021-11-13,92,,WAS,L 92-104,240,31,92,.337,18,52,.346,13,40,.325,17,20,.850,92,42,84,.500,30,49,.612,12,35,.343,8,10,.800,104
1158,HOU,2021-11-12,92,,POR,L 92-104,240,34,85,.400,27,53,.509,7,32,.219,17,27,.630,92,34,87,.391,23,51,.451,11,36,.306,25,31,.806,104
1159,SAS,2022-03-18,91,,NOP,L 91-124,240,32,89,.360,21,45,.467,11,44,.250,16,20,.800,91,48,96,.500,34,62,.548,14,34,.412,14,18,.778,124
1160,MIN,2022-02-16,91,,TOR,L 91-103,240,30,77,.390,20,35,.571,10,42,.238,21,29,.724,91,40,88,.455,32,63,.508,8,25,.320,15,19,.789,103
1161,BRK,2022-02-08,91,,BOS,L 91-126,240,38,99,.384,28,63,.444,10,36,.278,5,13,.385,91,50,91,.549,36,51,.706,14,40,.350,12,16,.750,126
1162,CHO,2022-01-23,91,,ATL,L 91-113,240,34,87,.391,30,51,.588,4,36,.111,19,27,.704,91,40,88,.455,25,49,.510,15,39,.385,18,24,.750,113
1163,NYK,2022-01-20,91,,NOP,L 91-102,240,29,77,.377,20,39,.513,9,38,.237,24,36,.667,91,38,76,.500,27,48,.563,11,28,.393,15,22,.682,102
1164,UTA,2022-01-12,91,,CLE,L 91-111,240,34,85,.400,18,38,.474,16,47,.340,7,11,.636,91,43,81,.531,32,51,.627,11,30,.367,14,17,.824,111
1165,ATL,2022-01-12,91,,MIA,L 91-115,240,31,82,.378,18,37,.486,13,45,.289,16,23,.696,91,43,90,.478,27,45,.600,16,45,.356,13,14,.929,115
1166,HOU,2022-01-10,91,,PHI,L 91-111,240,30,77,.390,17,35,.486,13,42,.310,18,27,.667,91,43,94,.457,33,59,.559,10,35,.286,15,18,.833,111
1167,DAL,2021-12-03,91,,NOP,L 91-107,240,32,79,.405,22,45,.489,10,34,.294,17,26,.654,91,37,90,.411,25,60,.417,12,30,.400,21,28,.750,107
1168,TOR,2021-11-30,91,,MEM,L 91-98,240,36,91,.396,26,52,.500,10,39,.256,9,12,.750,91,36,93,.387,26,59,.441,10,34,.294,16,19,.842,98
1169,CLE,2021-11-13,91,,BOS,W 91-89,240,31,81,.383,21,43,.488,10,38,.263,19,22,.864,91,33,78,.423,27,55,.491,6,23,.261,17,18,.944,89
