Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Thanasis Antetokounmpo,0,2022-03-16,29-241,MIL,@,SAC,W 135-126,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.0,0,F,antetth01
2,Thanasis Antetokounmpo,0,2021-12-01,29-136,MIL,,CHO,W 127-125,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.4,0,F,antetth01
3,Thanasis Antetokounmpo,0,2022-02-08,29-205,MIL,@,LAL,W 131-116,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.9,0,F,antetth01
4,DeAndre' Bembry,0,2022-03-04,27-243,MIL,@,CHI,W 118-112,,0,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,0,0,0,0.3,14.8,0,F,bembrde01
5,Bol Bol,0,2021-11-08,21-357,DEN,,MIA,W 113-96,,0,0,0,,0,0,,0,0,,0,2,.000,.000,0,0,0,0,0,0,0,0,0,-0.8,-7.0,,F-C,bolbo01
6,Brandon Boston Jr.,0,2021-11-09,19-346,LAC,,POR,W 117-109,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.6,-2,G-F,bostobr01
7,James Bouknight,0,2022-02-05,21-140,CHO,,MIA,L 86-104,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.6,0,G,bouknja01
8,Charlie Brown Jr.,0,2022-01-31,24-363,PHI,,MEM,W 122-119 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.3,-2,G,brownch02
9,Charlie Brown Jr.,0,2022-02-06,25-004,PHI,@,CHI,W 119-108,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,1,0,-0.4,-145.9,-2,G,brownch02
10,Charlie Brown Jr.,0,2022-02-11,25-009,PHI,,OKC,W 100-87,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.9,2,G,brownch02
11,Charlie Brown Jr.,0,2022-03-31,25-057,PHI,@,DET,L 94-102,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.1,0,G,brownch02
12,Greg Brown III,0,2022-01-19,20-140,POR,@,MIA,L 92-104,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.2,0,F,browngr01
13,Facundo Campazzo,0,2022-03-10,30-352,DEN,,GSW,L 102-113,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-10.2,-2,G,campafa01
14,Jevon Carter,0,2022-03-31,26-198,MIL,@,BRK,W 120-119 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,0,0,0,0.3,8.5,0,G,carteje01
15,Amir Coffey,0,2022-03-29,24-285,LAC,,UTA,W 121-115,,0,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,0,0,0,0.3,8.1,3,G,coffeam01
16,Amir Coffey,0,2021-11-09,24-145,LAC,,POR,W 117-109,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.9,-2,G,coffeam01
17,Amir Coffey,0,2021-11-14,24-150,LAC,,CHI,L 90-100,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.2,0,G,coffeam01
18,Sharife Cooper,0,2022-02-13,20-247,ATL,@,BOS,L 95-105,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.6,0,G,coopesh01
19,Tacko Fall,0,2021-11-10,25-335,CLE,,WAS,L 94-97,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.4,-2,C,fallta01
20,Draymond Green,0,2022-01-09,31-311,GSW,,CLE,W 96-82,*,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,1,0,-0.4,-176.8,0,F,greendr01
21,Blake Griffin,0,2022-03-13,32-362,BRK,,NYK,W 110-107,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.7,2,F-C,griffbl01
22,Quentin Grimes,0,2022-02-25,21-293,NYK,,MIA,L 100-115,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-4.6,-3,G,grimequ01
23,Quentin Grimes,0,2021-11-21,21-197,NYK,@,CHI,L 103-109,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.3,0,G,grimequ01
24,Quentin Grimes,0,2021-12-07,21-213,NYK,@,SAS,W 121-109,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.1,-3,G,grimequ01
25,Quentin Grimes,0,2021-10-20,21-165,NYK,,BOS,W 138-134 (2OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.6,,G,grimequ01
26,Willy Hernangómez,0,2021-10-29,27-155,NOP,,SAC,L 109-113,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-10.4,,C,hernawi01
27,Jrue Holiday,0,2022-04-10,31-302,MIL,@,CLE,L 115-133,*,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,1,0,-0.4,-145.0,0,G,holidjr01
28,Markus Howard,0,2022-01-28,22-331,DEN,@,NOP,W 116-105,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.4,0,G,howarma02
29,Markus Howard,0,2022-03-10,23-007,DEN,,GSW,L 102-113,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-10.0,0,G,howarma02
