Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Draymond Green,33,2018-10-16,28-226,GSW,,OKC,W 108-100,*,33,1,6,.167,1,5,.200,0,1,.000,0,0,,.167,1,12,13,5,3,0,6,3,2,1.8,-5.7,2,F,greendr01
2,Álex Abrines,23,2018-10-16,25-076,OKC,@,GSW,L 100-108,,23,3,8,.375,1,2,.500,2,6,.333,0,0,,.500,0,2,2,0,0,0,0,2,8,3.4,-4.8,-5,G-F,abrinal01
3,Paul George,37,2018-10-16,28-167,OKC,@,GSW,L 100-108,*,37,9,23,.391,5,11,.455,4,12,.333,5,8,.625,.509,0,2,2,5,4,0,5,3,27,15.2,5.3,-16,F-G,georgpa01
4,Daniel Theis,4,2018-10-16,26-195,BOS,,PHI,W 105-87,,4,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,0,1,0,-0.1,-7.1,3,C,theisda01
5,Jonah Bolden,1,2018-10-16,22-287,PHI,@,BOS,L 87-105,,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.6,-2,F,boldejo01
6,Guerschon Yabusele,1,2018-10-16,22-303,BOS,,PHI,W 105-87,,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-3.9,2,F-C,yabusgu01
7,Alfonzo McKinnie,2,2018-10-16,26-029,GSW,,OKC,W 108-100,,2,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.7,-19.8,-1,F,mckinal01
8,Al Horford,30,2018-10-16,32-135,BOS,,PHI,W 105-87,*,30,4,7,.571,4,6,.667,0,1,.000,1,1,1.000,.605,0,4,4,2,0,4,3,1,9,7.7,2.5,9,C-F,horfoal01
9,Raymond Felton,14,2018-10-16,34-112,OKC,@,GSW,L 100-108,,14,1,5,.200,1,2,.500,0,3,.000,4,5,.800,.417,0,3,3,1,0,0,2,0,6,2.1,-10.9,-1,G,feltora01
10,Aron Baynes,19,2018-10-16,31-311,BOS,,PHI,W 105-87,,19,3,7,.429,1,3,.333,2,4,.500,0,0,,.571,3,1,4,3,0,0,1,3,8,6.6,6.1,8,C,baynear01
11,Marcus Morris,21,2018-10-16,29-044,BOS,,PHI,W 105-87,,21,7,12,.583,5,5,1.000,2,7,.286,0,0,,.667,2,8,10,0,2,0,1,5,16,13.2,11.8,3,F,morrima03
12,Kevin Durant,38,2018-10-16,30-017,GSW,,OKC,W 108-100,*,38,9,21,.429,9,16,.563,0,5,.000,9,10,.900,.531,1,7,8,6,1,1,3,4,27,19.6,5.9,14,F-G,duranke01
13,Brad Wanamaker,1,2018-10-16,29-083,BOS,,PHI,W 105-87,,1,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,1,1,0,0,0,0,0,2,2.0,60.6,2,G,wanambr01
14,Dario Šarić,23,2018-10-16,24-191,PHI,@,BOS,L 87-105,*,23,3,8,.375,3,4,.750,0,4,.000,0,0,,.375,0,6,6,1,0,0,3,5,6,-0.9,-12.1,-6,F-C,saricda01
15,Ben Simmons,43,2018-10-16,22-088,PHI,@,BOS,L 87-105,*,43,7,14,.500,7,14,.500,0,0,,5,10,.500,.516,3,12,15,8,4,2,3,5,19,21.7,9.8,-8,G-F,simmobe01
16,Semi Ojeleye,1,2018-10-16,23-315,BOS,,PHI,W 105-87,,1,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,0,0,0,0.3,1.5,2,F,ojelese01
17,Gordon Hayward,25,2018-10-16,28-207,BOS,,PHI,W 105-87,*,25,4,12,.333,3,9,.333,1,3,.333,1,2,.500,.388,2,3,5,0,4,0,0,1,10,8.7,5.7,10,F-G,haywago01
18,Shaun Livingston,15,2018-10-16,33-035,GSW,,OKC,W 108-100,,15,3,5,.600,3,5,.600,0,0,,0,0,,.600,2,1,3,1,1,0,1,2,6,5.3,3.7,-3,G,livinsh01
19,Andre Iguodala,10,2018-10-16,34-261,GSW,,OKC,W 108-100,,10,1,2,.500,1,1,1.000,0,1,.000,0,0,,.500,0,2,2,2,0,0,0,0,2,3.0,3.9,2,F-G,iguodan01
20,Klay Thompson,35,2018-10-16,28-250,GSW,,OKC,W 108-100,*,35,5,20,.250,4,12,.333,1,8,.125,3,3,1.000,.328,1,3,4,0,0,0,2,3,14,0.4,-12.9,2,G-F,thompkl01
21,Joel Embiid,37,2018-10-16,24-214,PHI,@,BOS,L 87-105,*,37,9,21,.429,8,17,.471,1,4,.250,4,5,.800,.496,2,8,10,2,1,2,5,3,23,12.9,1.1,-8,C,embiijo01
22,Dennis Schröder,34,2018-10-16,25-031,OKC,@,GSW,L 100-108,*,34,7,19,.368,5,13,.385,2,6,.333,5,6,.833,.485,2,6,8,6,3,1,3,4,21,16.6,6.5,-7,G,schrode01
23,Robert Covington,34,2018-10-16,27-306,PHI,@,BOS,L 87-105,*,34,3,10,.300,1,3,.333,2,7,.286,0,0,,.400,1,5,6,0,2,1,2,1,8,4.7,-1.7,-9,F-C,covinro01
