Rk,Player,MP,Season,Lg,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Player-additional
527,Harrison Barnes,2659,2022-23,NBA,SAC,82,82,2659,374,791,.473,242,438,.553,132,353,.374,350,413,.847,.632,87,279,366,128,57,10,86,103,1230,11.9,-1.0,233,barneha02
528,Scottie Barnes,2679,2022-23,NBA,TOR,77,76,2679,463,1016,.456,400,792,.505,63,224,.281,190,246,.772,.524,179,333,512,371,83,61,154,170,1179,13.2,0.4,172,barnesc01
529,DeMar DeRozan,2687,2022-23,NBA,CHI,74,74,2687,657,1303,.504,611,1161,.526,46,142,.324,456,523,.872,.592,34,309,343,377,83,36,153,186,1816,18.9,2.0,67,derozde01
530,Dejounte Murray,2695,2022-23,NBA,ATL,74,74,2695,612,1319,.464,479,932,.514,133,387,.344,158,190,.832,.540,53,336,389,448,112,19,160,106,1515,16.2,1.0,-62,murrade01
531,Evan Mobley,2718,2022-23,NBA,CLE,79,79,2718,525,947,.554,503,845,.595,22,102,.216,205,304,.674,.591,187,524,711,224,60,119,146,218,1277,14.4,1.7,339,mobleev01
532,Spencer Dinwiddie,2729,2022-23,NBA,BRKDAL,79,79,2729,460,1050,.438,279,560,.498,181,490,.369,268,330,.812,.573,28,242,270,515,67,24,145,187,1369,14.0,0.7,-10,dinwisp01
533,Jayson Tatum,2733,2022-23,NBA,BOS,74,74,2733,727,1559,.466,487,873,.558,240,686,.350,531,622,.854,.607,78,571,649,342,78,51,213,160,2225,22.8,5.5,470,tatumja01
534,Domantas Sabonis,2736,2022-23,NBA,SAC,79,79,2736,577,938,.615,546,855,.639,31,83,.373,325,438,.742,.668,251,722,973,573,65,39,230,279,1510,20.0,5.8,191,sabondo01
535,Julius Randle,2740,2022-23,NBA,NYK,77,77,2740,658,1432,.459,440,796,.553,218,636,.343,402,531,.757,.581,141,626,767,316,49,21,216,233,1936,18.3,3.7,171,randlju01
536,Nikola Vučević,2745,2022-23,NBA,CHI,82,82,2745,597,1148,.520,476,801,.594,121,347,.349,132,158,.835,.594,159,744,903,265,60,57,139,179,1447,15.6,2.7,-18,vucevni01
537,Zach LaVine,2768,2022-23,NBA,CHI,77,77,2768,673,1388,.485,469,844,.556,204,544,.375,363,428,.848,.607,42,303,345,327,69,18,194,159,1913,17.6,1.9,18,lavinza01
538,Anthony Edwards,2847,2022-23,NBA,MIN,79,79,2847,707,1541,.459,494,963,.513,213,578,.369,319,422,.756,.564,47,411,458,350,125,58,259,186,1946,17.0,1.0,104,edwaran01
539,Mikal Bridges,2965,2022-23,NBA,BRKPHO,83,83,2965,593,1267,.468,424,825,.514,169,442,.382,316,353,.895,.587,79,285,364,273,91,61,127,159,1671,15.4,1.7,36,bridgmi01
