Rk,Player,MP,Season,Lg,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Player-additional
1,Thanasis Antetokounmpo,6,2015-16,NBA,NYK,2,0,6,3,4,.750,3,3,1.000,0,1,.000,0,0,,.750,0,1,1,0,0,0,0,2,6,2.0,5.9,-6,antetth01
2,Rakeem Christmas,6,2015-16,NBA,IND,1,0,6,2,2,1.000,2,2,1.000,0,0,,0,0,,1.000,1,0,1,0,0,0,0,1,4,3.7,6.5,-10,chrisra01
3,Coty Clarke,6,2015-16,NBA,BOS,3,0,6,2,4,.500,0,2,.000,2,2,1.000,0,0,,.750,0,1,1,0,0,0,1,0,6,1.1,16.5,4,clarkco01
4,Sam Dekker,6,2015-16,NBA,HOU,3,0,6,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,1,0,0,0,0,0.4,2.2,-2,dekkesa01
5,J.J. O'Brien,6,2015-16,NBA,UTA,2,0,6,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,1,1,0,1,0,0,1,0,0.1,-6.2,-8,obriejj01
6,Jordan Adams,15,2015-16,NBA,MEM,2,0,15,2,6,.333,2,5,.400,0,1,.000,3,5,.600,.427,0,2,2,3,3,0,2,2,7,2.9,6.9,4,adamsjo01
7,Joe Harris,15,2015-16,NBA,CLE,5,0,15,1,4,.250,0,0,,1,4,.250,0,0,,.375,0,3,3,2,0,0,1,1,3,0.3,-5.9,-21,harrijo01
8,Jimmer Fredette,17,2015-16,NBA,NOPNYK,6,0,17,2,5,.400,1,3,.333,1,2,.500,4,5,.800,.625,0,0,0,1,1,0,2,2,9,0.8,-2.3,-25,fredeji01
9,Jarnell Stokes,18,2015-16,NBA,MEMMIA,7,0,18,3,5,.600,3,5,.600,0,0,,1,2,.500,.595,1,3,4,1,1,0,0,1,7,1.0,1.9,9,stokeja01
10,Nazr Mohammed,20,2015-16,NBA,OKC,5,0,20,3,5,.600,3,5,.600,0,0,,2,2,1.000,.680,1,3,4,0,0,0,3,4,8,0.5,-11.7,-3,mohamna01
11,Kevon Looney,21,2015-16,NBA,GSW,5,0,21,4,7,.571,3,5,.600,1,2,.500,0,0,,.643,4,6,10,0,0,0,1,2,9,1.7,-2.5,-22,looneke01
12,Nate Robinson,23,2015-16,NBA,NOP,2,1,23,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,0,0,4,1,0,0,5,0,0.6,-4.6,-20,robinna01
13,Duje Dukan,24,2015-16,NBA,SAC,1,0,24,2,10,.200,0,5,.000,2,5,.400,0,0,,.300,2,2,4,1,1,0,0,2,6,2.7,-7.0,-8,dukandu01
14,Chuck Hayes,24,2015-16,NBA,HOU,2,0,24,1,2,.500,1,2,.500,0,0,,2,2,1.000,.694,0,8,8,2,0,0,3,6,4,0.7,-8.1,-3,hayesch01
15,Keith Appling,27,2015-16,NBA,ORL,5,0,27,2,8,.250,2,5,.400,0,3,.000,2,2,1.000,.338,0,1,1,1,1,0,3,5,6,-0.4,-15.1,14,applike01
