Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Ryan Anderson,29,2015-10-27,27-174,NOP,@,GSW,L 95-111,,29,2,7,.286,1,4,.250,1,3,.333,4,5,.800,.489,2,4,6,1,1,0,3,2,9,5.0,-4.3,-8,F,anderry01
2,Derrick Rose,32,2015-10-27,27-023,CHI,,CLE,W 97-95,*,32,8,22,.364,8,20,.400,0,2,.000,2,4,.500,.379,0,1,1,5,1,0,2,0,18,7.8,-2.7,-1,G,rosede01
3,Andre Iguodala,23,2015-10-27,31-272,GSW,,NOP,W 111-95,,23,1,3,.333,1,2,.500,0,1,.000,0,0,,.333,1,4,5,3,1,0,1,2,2,3.5,-1.5,1,F-G,iguodan01
4,Joakim Noah,17,2015-10-27,30-244,CHI,,CLE,W 97-95,,17,0,0,,0,0,,0,0,,0,2,.000,.000,2,7,9,4,1,0,1,1,0,5.1,7.9,1,C,noahjo01
5,Jeff Teague,32,2015-10-27,27-139,ATL,,DET,L 94-106,*,32,7,16,.438,6,13,.462,1,3,.333,3,4,.750,.507,0,2,2,4,0,0,5,1,18,7.2,-8.4,-23,G,teaguje01
6,Nate Robinson,19,2015-10-27,31-149,NOP,@,GSW,L 95-111,*,19,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,0,0,3,1,0,0,5,0,0.4,-5.2,-21,G,robinna01
7,Leandro Barbosa,21,2015-10-27,32-333,GSW,,NOP,W 111-95,,21,0,6,.000,0,4,.000,0,2,.000,0,0,,.000,1,5,6,2,0,1,3,3,0,-4.1,-17.1,-3,G,barbole01
8,Alexis Ajinça,17,2015-10-27,27-174,NOP,@,GSW,L 95-111,,17,3,7,.429,3,7,.429,0,0,,0,0,,.429,3,1,4,0,0,0,1,3,6,2.5,-9.2,4,C-F,ajincal01
9,Harrison Barnes,33,2015-10-27,23-150,GSW,,NOP,W 111-95,*,33,3,12,.250,2,7,.286,1,5,.200,1,2,.500,.311,5,4,9,3,1,0,1,3,8,6.0,-3.1,17,F,barneha02
10,Jimmy Butler,37,2015-10-27,26-043,CHI,,CLE,W 97-95,*,37,6,14,.429,6,12,.500,0,2,.000,5,5,1.000,.525,1,4,5,2,2,1,0,1,17,15.2,5.8,3,F-G,butleji01
